ctfr/ligand_inputs/paper_ligands,ctfr/output_data/paper_ligands
ctfr/ligand_inputs/condensed_params_and_db_0/0,ctfr/output_data/condensed_params_and_db_0/0
ctfr/ligand_inputs/condensed_params_and_db_0/1,ctfr/output_data/condensed_params_and_db_0/1
ctfr/ligand_inputs/condensed_params_and_db_0/2,ctfr/output_data/condensed_params_and_db_0/2
ctfr/ligand_inputs/condensed_params_and_db_0/3,ctfr/output_data/condensed_params_and_db_0/3
ctfr/ligand_inputs/condensed_params_and_db_0/4,ctfr/output_data/condensed_params_and_db_0/4
ctfr/ligand_inputs/condensed_params_and_db_0/5,ctfr/output_data/condensed_params_and_db_0/5
ctfr/ligand_inputs/condensed_params_and_db_0/6,ctfr/output_data/condensed_params_and_db_0/6
ctfr/ligand_inputs/condensed_params_and_db_0/7,ctfr/output_data/condensed_params_and_db_0/7
ctfr/ligand_inputs/condensed_params_and_db_0/8,ctfr/output_data/condensed_params_and_db_0/8
ctfr/ligand_inputs/condensed_params_and_db_0/9,ctfr/output_data/condensed_params_and_db_0/9
ctfr/ligand_inputs/condensed_params_and_db_0/10,ctfr/output_data/condensed_params_and_db_0/10
ctfr/ligand_inputs/condensed_params_and_db_0/11,ctfr/output_data/condensed_params_and_db_0/11
ctfr/ligand_inputs/condensed_params_and_db_0/12,ctfr/output_data/condensed_params_and_db_0/12
ctfr/ligand_inputs/condensed_params_and_db_0/13,ctfr/output_data/condensed_params_and_db_0/13
ctfr/ligand_inputs/condensed_params_and_db_0/14,ctfr/output_data/condensed_params_and_db_0/14
ctfr/ligand_inputs/condensed_params_and_db_0/15,ctfr/output_data/condensed_params_and_db_0/15
ctfr/ligand_inputs/condensed_params_and_db_0/16,ctfr/output_data/condensed_params_and_db_0/16
ctfr/ligand_inputs/condensed_params_and_db_0/17,ctfr/output_data/condensed_params_and_db_0/17
ctfr/ligand_inputs/condensed_params_and_db_0/18,ctfr/output_data/condensed_params_and_db_0/18
ctfr/ligand_inputs/condensed_params_and_db_0/19,ctfr/output_data/condensed_params_and_db_0/19
