	dmso-het	drug-het
0	416.6470588235294	117.6470588235294
1	206.08823529411765	401.02941176470586
2	192.47058823529412	210.52941176470588
3	268.6470588235294	247.61764705882354
4	285.94117647058823	167.8235294117647
5	343.05882352941177	225.6764705882353
6	716.2058823529412	313.0882352941176
7	500.6470588235294	214.05882352941177
8	367.52941176470586	309.8235294117647
9	421.5	270.52941176470586
10	673.3529411764706	154.35294117647058
11	237.41176470588235	231.23529411764707
12	788.0	535.0
13	517.9411764705883	116.79411764705883
14	518.5882352941177	581.9117647058823
15	483.02941176470586	224.3235294117647
16	621.8823529411765	413.1764705882353
17	307.5882352941176	962.7647058823529
18	890.2941176470588	416.2647058823529
19	460.9117647058824	455.11764705882354
20	706.4117647058823	503.47058823529414
21	571.7647058823529	301.05882352941177
22	251.11764705882354	385.38235294117646
23		764.4117647058823
24		343.38235294117646
25		489.47058823529414
26		331.11764705882354
27		227.41176470588235
