Concentration,1.00E-06,1.00E-07,1.00E-08,1.00E-09,1.00E-10,1.00E-11,1.00E-12,1.00E-13,0
Replicate 1,420280,676720,253080,23920,12240,13400,4760,7120,4280
Replicate 2,918400,607200,248680,17760,6240,9360,3000,11440,800
Replicate 3,1164040,559440,184960,14720,7040,7280,3400,5600,2120
Replicate 4,1097840,428280,218880,17240,5840,4560,4560,5960,3720
