	dmso-wt	drug-wt
0	171.21542314340587	188.02877847327423
1	198.73563084943996	231.21160319621643
2	181.91093271592433	166.34262938928285
3	275.6163493951214	176.55579670057426
4	322.1339331503674	195.96439759034553
5	235.89857548553047	249.8801915256704
6	203.36749537539683	259.16809308653035
7	241.9633494207117	285.9193315259449
8	319.8289660815702	227.9238857686923
9	250.68355880454615	349.2495545778746
10	244.22613087208902	349.5450294553728
11	213.4391285017187	364.5265068613746
12	207.5512625725471	209.25618449177733
13	198.22654368167144	183.83415271257977
14	204.8158641236972	194.99493342711997
15	229.97426650936364	362.10165442779464
16	179.93682193321487	204.00759408086392
17	201.21065281214544	184.02672360682405
18	180.8002863245347	
19	279.19504612592476	
20	192.52691600810894	
