	dmso-wt	drug-wt
0	166.04298472519955	172.7414691354143
1	177.84969493265592	202.96991536151657
2	174.18483837671744	157.9801316730639
3	258.61672428942416	181.27040154580422
4	222.5476907029526	188.888296969054
5	253.78440477938904	218.34795239130463
6	214.14481489701322	256.5830264521369
7	263.7754035332893	281.42003185197535
8	276.4391973677096	227.13009845086916
9	213.74749590536163	283.7910602654917
10	246.88997587980626	279.64498007937976
11	189.67246460148385	299.09057040818703
12	193.9614553243718	205.73640657459222
13	184.84517447866315	200.5322104901267
14	208.52967451611875	175.07206816195472
15	195.18190706525363	343.09900313738564
16	175.12672826267166	192.66172110741405
17	189.38938321724845	184.94569941351224
18	182.06733744198414	
19	246.966064823374	
20	174.9931909269681	
