	dmso-het	drug-het
0	160.1056837019832	144.11106668560083
1	175.549814296789	197.06917765215942
2	170.72956593772474	202.657197199196
3	287.18298249999503	216.33607354262307
4	176.5712188044199	163.03205552197943
5	189.37991845436864	243.8598770505233
6	283.60803549821486	171.14798690336713
7	188.67782240815532	290.20030702258504
8	204.34790668426868	196.99823745622052
9	210.39416572986906	176.15607927110457
10	164.32560550750708	237.59680618489088
11	189.36125914993065	227.49999923297182
12	178.7427013589767	183.39306924441485
13		205.8154455727665
14		264.71490859323933
15		217.8077100907246
