	dmso-het	drug-het
0	40537.81644453678	26136.59979787116
1	15072.492664389261	3515.3784634675358
2	6505.0659266016	8283.239483301879
3	6006.683005752438	3731.6554232390854
4	2377.617192284922	28151.24971791492
5	2896.129598719545	10436.030682147266
6	14852.016088397786	8279.370472898367
7	2306.5711324818294	11457.580309765191
8	16687.58575126526	55590.28977552948
9	1808.2276278665702	22014.94863171109
10	2382.91136395219	90404.58572081005
11	9428.211574883982	16804.81877286374
12	5686.77470593757	17619.784643134226
13		4466.354855017784
14		23523.299949816563
15		30342.298810787506
