	dmso-het	drug-het
0	178.5105788693528	155.18627676100917
1	188.22012411808157	207.22769334173321
2	212.02247272998247	224.02238174133274
3	331.5401865217934	229.75758748980667
4	233.1304186313707	196.32443800127731
5	239.60727660814464	254.08874259906938
6	335.51789544615684	208.86329687147182
7	226.2624560879637	363.26637549129504
8	227.6577202252263	275.29593428584695
9	304.06492311718375	212.48389610048068
10	239.61980011927145	256.806806415265
11	320.31520171473227	298.79214154690095
12	251.48985191134992	205.73263989427667
13		297.5205092735853
14		374.5005154059183
15		325.09750556246723
