	dmso-het	dmso-mut
0	38.06666666666667	34.53333333333333
1	47.86666666666667	108.93333333333334
2	114.7	44.95
3	39.05	30.083333333333332
4	51.4	125.66666666666667
5	49.56666666666667	25.183333333333334
6	8.7	78.18333333333334
7	13.166666666666666	80.66666666666667
8	75.06666666666666	10.516666666666667
9	8.266666666666667	22.316666666666666
10	28.783333333333335	
11	43.333333333333336	
12	32.516666666666666	
13	58.86666666666667	
14	413.81666666666666	
15	46.78333333333333	
16	19.25	
17	17.85	
18	13.15	
19	76.43333333333334	
20	19.2	
21	7.166666666666667	
22	18.916666666666668	
23	62.166666666666664	
24	22.2	
25	24.116666666666667	
26	28.766666666666666	
27	24.65	
28	49.1	
29	69.23333333333333	
30	62.88333333333333	
31	16.05	
32	52.8	
33	70.35	
34	73.16666666666667	
