	dmso-het	dmso-mut
0	481.1666666666667	100.80952380952381
1	157.52380952380952	103.17857142857143
2	43.17857142857143	225.92857142857142
3	352.0595238095238	147.29761904761904
4	58.392857142857146	307.2738095238095
5	77.02380952380952	190.64285714285714
6	36.76190476190476	503.04761904761904
7	108.95238095238095	161.71428571428572
8	296.7738095238095	2.9047619047619047
9	123.38095238095238	137.39285714285714
10	42.595238095238095	
11	266.1547619047619	
12	114.9047619047619	
13	493.89285714285717	
14	279.1190476190476	
15	244.20238095238096	
16	78.70238095238095	
17	524.702380952381	
18	32.94047619047619	
19	66.44047619047619	
20	95.51190476190476	
21	173.95238095238096	
22	297.51190476190476	
23	199.6547619047619	
24	490.54761904761904	
25	446.4404761904762	
26	237.76190476190476	
27	97.03571428571429	
28	291.98809523809524	
29	308.26190476190476	
30	111.20238095238095	
31	133.36904761904762	
32	303.25	
33	163.64285714285714	
34	77.33333333333333	
