	dmso-het	dmso-mut
0	8.383333333333333	125.55
1	16.866666666666667	203.8
2	15.866666666666667	40.016666666666666
3	45.11666666666667	62.96666666666667
4	39.71666666666667	6.933333333333334
5	50.78333333333333	181.65
6	36.93333333333333	56.583333333333336
7	67.25	135.08333333333334
8	166.3	53.45
9	129.41666666666666	0.0
10	55.516666666666666	47.31666666666667
11	136.58333333333334	128.93333333333334
12	85.98333333333333	
13	166.76666666666668	
14	140.96666666666667	
15	44.18333333333333	
16	88.58333333333333	
17	39.86666666666667	
18	31.833333333333332	
19	82.81666666666666	
20	271.1	
21	150.58333333333334	
22	46.7	
23	59.3	
24	23.7	
25	82.38333333333334	
