	dmso_wt	dmso_het
0	129.9	50.6
1	68.1	131.6
2	196.5	150.1
3	455.7	49.5
4	98.3	406.3
5	49.7	338.6
6	280.9	452.8
7	37.6	539.2
8	17.4	381.5
9	144.9	42.1
10		395.5
11		158.4
12		390.7
13		480.3
14		126.9
15		673.6
16		620.5
