<<<<<<< HEAD
	dmso	dmso
0	113.30952380952381	129.20238095238096
1	108.51190476190476	136.28571428571428
2	121.86904761904762	107.9047619047619
3	201.0	223.89285714285714
4	239.5952380952381	229.20238095238096
5	53.05952380952381	195.28571428571428
6	171.27380952380952	240.13095238095238
7	171.79761904761904	112.27380952380952
8	50.86904761904762	277.5238095238095
9	167.32142857142858	214.0595238095238
10		282.39285714285717
11		189.57142857142858
12		352.4166666666667
13		184.88095238095238
14		365.6904761904762
15		271.8690476190476
16		135.76190476190476
=======
	dmso_wt	dmso_het
0	208.61904761904762	56.464285714285715
1	62.404761904761905	178.60714285714286
2	72.11904761904762	201.48809523809524
3	42.98809523809524	134.54761904761904
4	222.86904761904762	210.6547619047619
5	12.321428571428571	33.76190476190476
6	248.4047619047619	275.4761904761905
7	118.14285714285714	152.35714285714286
8	113.29761904761905	125.1547619047619
9	62.845238095238095	197.66666666666666
10	118.44047619047619	25.035714285714285
11	82.96428571428571	184.45238095238096
12	128.54761904761904	200.3095238095238
13	275.0357142857143	68.30952380952381
14	38.642857142857146	139.64285714285714
15	69.91666666666667	161.4047619047619
16	149.9404761904762	69.10714285714286
17	83.72619047619048	165.33333333333334
18	130.96428571428572	296.92857142857144
19	179.58333333333334	118.04761904761905
20	158.4404761904762	
21	191.54761904761904	
22	218.28571428571428	
23	127.02380952380952	
24	116.70238095238095	
25	157.28571428571428	
>>>>>>> 599e09689325b126b25f7ff51e8597014bccda51
