	dmso-wt	drug-wt
0	258.9559953630395	177.08022692659966
1	279.34241489372226	197.5179202129383
2	284.4347427860286	163.5297379919424
3	228.4270621515708	300.1238342696826
4	330.6970984721104	195.82486212827348
5	255.3102694732732	237.44248793425788
6	277.4016057648173	247.41781984001466
7	222.82278504305827	346.76891868613984
8	270.065236432651	208.89783916554
9	244.24369117675676	203.4186842889108
10	214.17051801629881	285.17969298530056
11	230.4059705263637	256.67010435373265
12		314.1399171913426
13		200.35058218221312
14		296.42119325334755
15		242.58224238614682
16		243.126660716632
17		245.897021397522
18		207.9521203795355
