	dmso-wt	drug-wt
0	0.4583329555094626	0.22301465002593102
1	0.6809535624164523	0.19367502165168327
2	0.743696973842257	0.1408897334338548
3	0.49006445553022154	1.2421949669235908
4	1.253549698963506	0.2896391253299528
5	0.5205722966569891	0.48427257902717225
6	0.5676940240081711	0.3251230885951471
7	0.5245328672875857	0.93354759756635
8	0.7905988608068863	0.4050871375904749
9	0.70351633419567	0.24825055647078698
10	0.5318954763331534	0.5164707319675997
11	0.5561944677042278	0.4992360761778097
12		0.8593428004226034
13		0.32274189637126194
14		0.5453993289829818
15		0.5378271055645959
16		0.500803732401306
17		0.6119879730440465
18		0.43460444524266356
