	dmso-het	drug-het
0	231.05097343071446	205.57501583022423
1	302.2177990136004	200.51232516629372
2	336.6029094534321	202.6484269237141
3	288.90633978824764	245.36052810038214
4	243.92361064760763	262.69314000687984
5	247.15861603001673	226.6731356847241
6	419.3090844430185	204.4604868127724
7	268.0565073210267	236.35538909063158
8	243.74526666088695	266.12820843471064
9	322.0395843605244	289.5872807436334
10	305.09316779499886	285.47143457454484
11	360.64984130570866	290.44761965364967
12	351.02181869976613	266.89844000008435
13	271.2601412922923	292.1597874731643
14	422.9008857784555	284.26404285929664
15	296.52966003870364	316.45150617317074
16	302.64767889801993	
17	298.2774520594207	
18	308.3530810566903	
