	dmso-het	drug-het
0	227.6309449145531	208.56158683810486
1	275.0018975055687	191.43397773636565
2	319.0836229496684	198.2546126352417
3	287.0652579707948	239.60257089911354
4	210.3730871719299	226.8896944373868
5	247.42325819217106	218.75378952112274
6	340.13025083153974	190.2261053866618
7	250.4341278159017	236.27831698635052
8	236.01629625123948	246.02364903460662
9	301.77206011079807	273.9663672122364
10	277.73263432715385	294.9302084416328
11	318.75576888914156	273.76645342203693
12	371.780851175495	256.60016133312985
13	265.3169194169622	272.513609694367
14	373.6133207035455	269.0393886288903
15	249.02425592092035	261.6267400831161
16	301.87111757031005	
17	288.5805643339682	
18	300.7203291359504	
