	dmso-het	drug-het
0	189.31205474061028	192.02994137209012
1	212.58808999333343	177.8333875859029
2	215.16312342916325	174.0518180390622
3	225.43754905598058	197.15478613329196
4	224.00871004518302	184.0721844815793
5	191.50727372694342	185.23942863238375
6	261.10300679126755	163.84096713970337
7	194.78839603990477	185.84129297397558
8	187.2294930233051	201.69193167174788
9	195.90693615446102	215.92830148419142
10	202.27333086908473	187.5117885772353
11	201.85767492944092	195.57662848387227
12	201.86584730823785	184.4833021888522
13	197.80104175483208	206.42073080326617
14	270.71854167102504	201.68426006488224
15	198.36244148060302	196.28857910830803
16	214.75001962551076	
17	203.69482775812446	
18	207.22482620667242	
