	dmso-het	drug-het
0	176.61478292475798	188.01609589976735
1	210.62332509578263	151.19358876009915
2	226.35308433797127	168.25074868002076
3	221.0267659920391	201.39980038682435
4	176.30351722887977	175.68692650232782
5	180.5514037263947	164.8428382276759
6	254.4523769177137	157.40670802863153
7	180.83651904336708	190.40504616568705
8	191.8726793410442	177.85938365137108
9	210.7480833679791	204.71757682076836
10	200.9290503984949	203.57641555877973
11	215.05909302050887	170.1565035473928
12	259.94830268129095	184.2399614126196
13	175.44039130644546	193.80591318344872
14	272.71494355896203	187.1181763885741
15	191.22940018779127	179.27435261596338
16	219.11224787330207	
17	194.33665445172952	
18	179.37559856475534	
