	dmso-het	drug-het
0	1.057415881668696	1.0147220098252414
1	1.1472271918039962	1.0987876828330891
2	1.3120836226491486	1.120225319165885
3	1.4037410603230533	1.1882466360074635
4	1.0542529063794077	1.200224873051712
5	1.2356263799819656	1.1778583887963223
6	1.2713679287936137	0.9235243664673162
7	1.4408535931767676	1.1204830884415884
8	1.2296511199608295	1.33075942058745
9	1.1851061859376035	1.296332549693368
10	1.2041834115647612	1.2190147001201233
11	1.2286848111859539	1.4876682247590334
12	1.039764630365344	1.1933864912163847
13	1.442773275330954	1.3748719768745712
14	1.3752034711612362	1.3092087754401183
15	1.1332970212389508	1.2405812454492264
16	1.4106715139937593	
17	1.4736311979363022	
18	1.5058603970649842	
