	dmso-het	drug-het
0	2023.6176776092457	1879.8065568710022
1	2918.59627378282	3870.610241379119
2	6119.606316749427	1632.078958359701
3	1985.1622737061396	1380.2101395921225
4	3574.3673372534868	9124.751689882985
5	2146.8491870235935	151251.33992720576
6	4315.220674516027	8616.938249324327
7	2185.817710790901	2721.9621951123636
8	3426.548145259743	3578.399109234157
9	5845.118273896755	4723.959509791571
10	1848.7579876970703	3429.15630428449
11	9285.173729831698	2886.0991156454847
12	6626.852164739188	2099.6621485200185
13	5947.833112868786	1483.8731920688656
14	3704.720072435371	2114.9229207078583
15	10817.308966016397	5190.682243185139
16	1852.5290729709843	
17	3975.663096934949	
18	4169.4186155764555	
