	dmso-het	drug-het
0	181.30379787323727	187.74549730568847
1	229.2902092927767	160.43256858184927
2	238.17277987559856	169.0910012107937
3	211.9374995802749	205.83486770621585
4	204.02220857974788	182.47610007004442
5	184.35119054507044	185.6651442062904
6	277.83363253693983	161.06458665339423
7	187.3147967739248	188.04413937952955
8	186.37534883835374	186.39334135581578
9	204.62744575027278	214.15898363656535
10	210.07290170406927	203.05229874372057
11	230.07327415046493	183.16529372254155
12	234.36093578496485	183.7988021430828
13	180.52998306221986	200.45870973817784
14	297.1783977988299	185.99404617730025
15	214.20513437802376	199.31767141180566
16	207.61380495971878	
17	197.46517695755205	
18	186.4757365947484	
