nsp14_5c8s/ligand_inputs/paper_ligands/Z1907784975,nsp14_5c8s/output_data/paper_ligands/Z1907784975
nsp14_5c8s/ligand_inputs/paper_ligands/Z2732986066,nsp14_5c8s/output_data/paper_ligands/Z2732986066
nsp14_5c8s/ligand_inputs/paper_ligands/Z3343635604,nsp14_5c8s/output_data/paper_ligands/Z3343635604
nsp14_5c8s/ligand_inputs/paper_ligands/Z4324535763,nsp14_5c8s/output_data/paper_ligands/Z4324535763
nsp14_5c8s/ligand_inputs/paper_ligands/Z5185631889,nsp14_5c8s/output_data/paper_ligands/Z5185631889
nsp14_5c8s/ligand_inputs/paper_ligands/Z5185631911,nsp14_5c8s/output_data/paper_ligands/Z5185631911
nsp14_5c8s/ligand_inputs/paper_ligands/Z5348530222,nsp14_5c8s/output_data/paper_ligands/Z5348530222
nsp14_5c8s/ligand_inputs/paper_ligands/Z5348530626,nsp14_5c8s/output_data/paper_ligands/Z5348530626
nsp14_5c8s/ligand_inputs/paper_ligands/Z5348530683,nsp14_5c8s/output_data/paper_ligands/Z5348530683
nsp14_5c8s/ligand_inputs/paper_ligands/Z5348530741,nsp14_5c8s/output_data/paper_ligands/Z5348530741
