	dmso-het	drug-het
0	144.81705709598552	141.57134144294702
1	141.17704700899816	157.8109621687319
2	185.09770840443835	151.48913104348136
3	180.62361049330207	144.98111202095308
4	167.16344271201487	145.63265410803984
5	182.39660494227118	162.50474529769184
6	154.70590604506455	210.64860449005442
7	179.11096181732097	148.58819692020566
8	186.77463795414275	185.28914933796386
9	170.8822968429971	175.13634184957922
10	196.12162787620724	178.60389885387556
11	188.72089984044592	324.77038336885823
12		150.28211270804073
13		194.4132679423594
14		164.15470746809848
15		160.01416064893655
16		150.5358845938
17		156.98912034490277
18		156.08528272853582
