	dmso-wt	drug-wt
0	207.65490420003698	191.4824860475765
1	221.7797917569145	184.2367896060923
2	248.2000640346584	215.2996032226335
3	316.0128651381842	227.41025977473305
4	637.3301185931023	290.2921967883352
5	321.88410502908545	283.24588925440145
6	325.5944246437288	346.73680840243117
7	234.91728203498553	243.54159048118171
8	244.7170650986387	294.38269978505593
9	380.7868491117035	346.43749666754775
10	300.0734435841167	342.77048911189416
11	275.14785867639716	
12	302.1545631887582	
13	278.3932538403492	
