	dmso-wt	drug-wt
0	155.41546414643526	140.87416856039044
1	144.66818113176825	134.85638444813895
2	169.76464701143206	197.21477877165557
3	166.61745653072907	152.06358520954137
4	231.21707025119198	155.79075121289725
5	192.99530306702778	159.36043215186322
6	179.70542713917405	177.088740197265
7	149.88782516989443	177.72823921692864
8	158.04535830124073	155.53653613407545
9	205.6870253030235	167.83420005980693
10	171.62648618357505	200.79408771831535
11	164.0982925262779	
12	175.9788209676803	
13	155.17376192193802	
