	dmso-het	dmso-mut
0	2789.9285714285716	575.5
1	850.9285714285714	643.3571428571429
2	340.2857142857143	1346.7857142857142
3	1999.7142857142858	805.1428571428571
4	357.57142857142856	1747.9285714285713
5	477.85714285714283	1075.642857142857
6	220.0	2918.4285714285716
7	600.9285714285714	940.9285714285714
8	1688.857142857143	21.0
9	719.5714285714286	816.8571428571429
10	251.28571428571428	
11	1535.642857142857	
12	668.7142857142857	
13	2735.285714285714	
14	1588.2857142857142	
15	1425.2857142857142	
16	490.5	
17	2882.5714285714284	
18	199.21428571428572	
19	402.35714285714283	
20	470.14285714285717	
21	969.5	
22	1713.5714285714287	
23	1143.357142857143	
24	2778.214285714286	
25	2578.0	
26	1411.7142857142858	
27	548.2142857142857	
28	1744.0714285714287	
29	1858.7142857142858	
30	685.5	
31	803.5	
32	1803.2142857142858	
33	1038.642857142857	
34	516.1428571428571	
