	dmso	drug
0	16.8	5.166666666666667
1	11.2	11.3
2	7.716666666666667	36.983333333333334
3	26.916666666666668	10.966666666666667
4	17.9	1.7333333333333334
5	10.516666666666667	14.4
6	16.016666666666666	25.583333333333332
7	19.833333333333332	10.016666666666667
8	9.25	20.1
9	33.46666666666667	8.766666666666667
10	58.983333333333334	24.766666666666666
11	12.416666666666666	62.916666666666664
12	19.0	23.833333333333332
13	11.983333333333333	11.033333333333333
14	35.233333333333334	23.55
15	26.016666666666666	12.5
16	15.016666666666667	16.666666666666668
17	28.9	23.783333333333335
18	7.083333333333333	18.766666666666666
19	23.333333333333332	9.35
20	19.583333333333332	58.75
21	16.833333333333332	24.566666666666666
22	39.81666666666667	42.9
23	22.55	
