	dmso-wt	drug-wt
0	146.28675540098544	143.68073983555863
1	151.27363862389313	164.84971070856605
2	144.88515774348167	146.0599722890183
3	145.08440419876487	158.97675316101729
4	176.03663570965955	160.91444430401728
5	223.71881981425835	160.26954493352187
6	334.18386074316334	157.33988521604596
7	168.76499140441425	165.00490139748126
8	179.81475913393137	401.86540948990466
9	164.83522553788652	180.64890279960596
10	171.6313294237801	236.31575212625148
11	189.1718950573154	175.660663137987
12	180.39330186983966	235.51325998265065
13	200.65242234461104	203.6789412445952
14	181.444596059218	
15	186.7855470655059	
