	dmso-wt	drug-wt
0	1111.7460317460318	945.952380952381
1	756.1904761904761	415.3968253968254
2	460.36507936507934	533.7142857142857
3	404.26984126984127	800.1428571428571
4	739.3968253968254	851.6666666666666
5	498.015873015873	616.6349206349206
6	421.015873015873	970.2222222222222
7	710.1269841269841	579.5079365079365
8	948.2380952380952	191.3968253968254
9	610.031746031746	409.6031746031746
10	651.0793650793651	778.9047619047619
11	700.2698412698413	638.8730158730159
12	552.5873015873016	504.36507936507934
13	668.936507936508	739.3650793650794
14	650.952380952381	
15	1021.3174603174604	
