	dmso-wt	drug-wt
0	166.5671573375458	152.59614936282273
1	178.04176681007863	161.1777824018728
2	190.9303738418444	164.33114255992547
3	195.50835916669078	146.83067404450708
4	246.1850073942252	205.62886949105487
5	184.32145811846618	212.2682871790907
6	313.11492385662666	234.99643692508948
7	282.63251692839947	204.11073905829147
8	281.6737096010121	714.2247392468863
9	289.47232332537277	234.41260921177587
10	217.05204988270634	242.47473349464371
11	269.5410930954103	246.96961208209603
12	121.80288440135355	321.51170169752874
13	205.41422364703163	320.4159757170703
14	209.5842424481024	
15	277.5541083059437	
