	dmso-wt	drug-wt
0	495.5	532.7142857142857
1	327.07142857142856	450.64285714285717
2	244.28571428571428	425.85714285714283
3	289.0	413.42857142857144
4	400.14285714285717	856.7857142857143
5	242.28571428571428	583.9285714285714
6	114.78571428571429	449.2857142857143
7	657.4285714285714	785.0714285714286
8	593.3571428571429	257.85714285714283
9	365.35714285714283	285.2857142857143
10	235.0	551.5714285714286
11	924.1428571428571	346.2857142857143
12	380.2142857142857	727.1428571428571
13	597.7857142857143	748.2857142857143
14	494.2857142857143	
15	1098.5	
