	dmso-mut	drug-mut
0	234.85585090802203	215.4546429180855
1	278.7364102923938	306.94150520557685
2	247.23720878227735	244.43877711482648
3	298.48370730252265	216.27885722928883
4	322.42089838206687	313.14725440846524
5	247.23710186279925	283.54699271572633
6	271.498981812016	255.38481690382346
7	299.68690997131404	263.8997270704741
8	219.94526860109437	281.19017493625347
9	235.22278776255865	301.80278783818676
10	251.45197254911872	237.36769319863768
11	266.0198239630863	239.74016068525393
12		245.0339343187232
