	dmso-wt	drug-wt
0	44.80901856763926	0.0
1	27.29973474801061	0.0
2	24.636604774535808	0.0
3	33.241379310344826	0.0
4	77.25729442970822	0.0
5	63.19893899204244	0.0
6	41.16710875331565	0.0
7	90.48275862068965	0.0
8	73.39257294429709	42.241379310344826
9	93.684350132626	26.482758620689655
10	43.89124668435013	19.70291777188329
11	44.14058355437666	36.95225464190982
12	32.3342175066313	32.46419098143236
13		70.75862068965517
14		48.10079575596817
15		64.20159151193634
16		75.18832891246684
17		43.95225464190982
18		37.251989389920425
19		2.6923076923076925
20		3.1618037135278514
21		3.145888594164456
22		63.15384615384615
23		41.26790450928382
