	dmso	drug
0	163.46268656716418	82.38557213930348
1	70.59950248756219	124.35323383084577
2	141.6492537313433	153.27611940298507
3	154.56467661691542	72.33084577114428
4	213.32835820895522	175.10696517412936
5	219.77611940298507	366.8731343283582
6	114.40049751243781	183.33333333333334
7	221.7810945273632	178.69651741293532
8	181.11194029850745	182.56218905472636
9	278.5820895522388	154.9502487562189
10	104.43283582089552	104.71890547263682
11	175.07462686567163	
12	194.59452736318408	
13	294.82338308457713	
14	216.65174129353233	
15	125.46268656716418	
16	153.89303482587064	
