	dmso_wt	dmso_het
0	0.49833333333333335	2.486666666666667
1	0.8066666666666666	3.9483333333333333
2	0.48	5.341666666666667
3	1.3883333333333334	1.9133333333333333
4	0.38333333333333336	1.9716666666666667
5	0.68	1.3166666666666667
6	0.7233333333333334	2.2216666666666667
7	0.5933333333333334	5.123333333333333
8	0.6516666666666666	1.0616666666666668
9	0.4766666666666667	1.1033333333333333
10	2.736666666666667	2.07
11	1.0416666666666667	5.493333333333333
12	1.31	2.0116666666666667
13	1.0533333333333332	2.525
14	1.0333333333333334	1.3733333333333333
15	0.6983333333333334	3.42
16	2.235	3.933333333333333
17	1.3283333333333334	3.388333333333333
18	0.76	2.618333333333333
19	0.655	
20	1.2216666666666667	
21	0.505	
22	0.9616666666666667	
23	0.7416666666666667	
24	0.7166666666666667	
