	dmso_wt	dmso_het
0	3.3857142857142857	5.723809523809524
1	6.329761904761905	6.267857142857143
2	5.753571428571429	14.773809523809524
3	3.9702380952380953	15.010714285714286
4	4.113095238095238	8.958333333333334
5	13.996428571428572	10.05
6	21.120238095238093	10.16904761904762
7	5.9035714285714285	8.160714285714286
8	9.613095238095237	21.070238095238096
9	7.498809523809523	28.077380952380953
10	8.13452380952381	28.77261904761905
11	5.984523809523809	31.745238095238093
12	15.598809523809523	30.62857142857143
13	3.9702380952380953	25.52857142857143
14	18.823809523809523	27.133333333333333
15	13.980952380952381	17.803571428571427
16	3.598809523809524	40.49880952380953
17	22.677380952380954	17.610714285714284
18	16.72738095238095	15.658333333333333
19	3.7785714285714285	
20	25.898809523809526	
21	5.852380952380952	
22	43.52857142857143	
23	28.419047619047618	
24	13.839285714285714	
