,Replicate 1,Replicate 2,Replicate 3,Replicate 4
OxA,73440,148720,172800,51960
Z5052318887,1360,1960,640,240
PV-006669822259,1440,880,800,720
Z2017261328,1640,360,920,840
Z1679037537,3360,1840,600,240
PV-006693400816,4320,3440,4160,2440
PV-006634533361,8520,920,400,680
PV-006687433267,1000,1040,800,640
PV-006700551673,880,640,360,360
PV-005718134777,600,800,1200,560
PV-004504869303,3440,1680,1240,2560
PV-006695134867,5240,1680,1280,1360
PV-006680046115,1600,2440,1040,1680
PV-001569394061,8760,920,600,1040
PV-006614933798,480,520,2000,680
PV-006707508242,3680,1600,2160,1080
PV-006689746410,1520,3440,2040,1400
PV-006667477124,1400,1960,1120,1920
PV-003145840616,2680,1400,1520,1760
PV-001123528796,4680,1640,4120,1840
PV-006645844483,2960,960,1280,2560
Z3878403833,3600,1160,1040,2280
PV-006130153580,9840,2000,1160,1680
PV-006621251098,3680,1200,2440,1520
PV-006688879098,17440,3200,880,1360
PV-006706116130,1280,3560,880,520
PV-006544139142,10360,600,800,960
PV-006710095262,360,360,960,1760
PV-006655328768,9440,1160,3240,1760
PV-006666022285,1680,1640,2760,1280
PV-006612138035,3240,3160,2720,2960
PV-006668031637,2160,680,720,2280
Z1316825222,3680,280,1640,560
DMSO,1920,3520,1760,2040
