	drug	dmso
0	269.85714285714283	371.7142857142857
1	266.07142857142856	807.7142857142857
2	607.5	622.9285714285714
3	968.5714285714286	328.42857142857144
4	911.2857142857143	278.07142857142856
5	1287.857142857143	899.9285714285714
6	431.0	935.0714285714286
7	696.0	849.3571428571429
8	153.0	562.2142857142857
9	1147.7142857142858	378.0
10	317.0	1054.642857142857
11	1012.5	733.7142857142857
12	694.8571428571429	2609.714285714286
13	1341.2857142857142	90.85714285714286
14	696.2857142857143	705.7142857142857
15	1020.7142857142857	1035.4285714285713
16	673.0	437.7142857142857
17	1876.2857142857142	996.1428571428571
18	841.5714285714286	853.0
19	740.5714285714286	897.5714285714286
20	1024.2142857142858	760.8571428571429
21	665.4285714285714	486.0
22	1018.4285714285714	1016.7857142857143
23		978.4285714285714
24		1446.5
25		1274.5
26		692.2142857142857
