Time Stamp:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-09 07:00:00,31,63.06,31.72,97,99.44,84.56,99.67,55.11,33.83
2025-10-09 08:00:00,32,33.83,84.33,91.78,87.33,62.33,99.5,99.39,79.39
2025-10-09 09:00:00,33,18.06,15.44,30.11,18.67,29.67,76.06,100,22.67
2025-10-09 10:00:00,34,32.11,44.72,59.5,88.44,42.56,28.44,72.44,68.22
2025-10-09 11:00:00,35,56.5,24.94,57.78,11.72,46.22,24.11,18.17,7.78
2025-10-09 12:00:00,36,46.89,34.78,13.56,20.94,23.83,55.28,53.83,31.78
2025-10-09 13:00:00,37,28,37.56,41.83,73.17,11.67,31.44,59.72,27.61
2025-10-09 14:00:00,38,32,29.83,34.22,15.28,58.67,11.61,13.67,80.33
2025-10-09 15:00:00,39,54.61,31.83,51.89,29.39,33.11,18.22,19.89,29.11
2025-10-09 16:00:00,40,12.11,41.44,11.56,19.39,21.78,32.33,35.72,33.67
2025-10-09 17:00:00,41,58.33,42.67,44.56,38.78,31.83,30.83,61.06,20.94
2025-10-09 18:00:00,42,21.61,19.22,18.83,51.44,42,28.56,8.67,36.83
2025-10-09 19:00:00,43,62.56,57.72,68.72,38.72,49.17,71.5,55.22,37.72
2025-10-09 20:00:00,44,86.44,66,85.44,99.67,93.67,88.44,97.5,96.72
2025-10-09 21:00:00,45,77.17,71.67,97.83,97,55.39,97.78,98.33,65.17
2025-10-09 22:00:00,46,98.56,81.44,96.11,99.5,86.67,100,100,89
2025-10-09 23:00:00,47,47.17,53.89,39.89,98.83,97.33,93.28,99.72,99.22
2025-10-10 00:00:00,48,83.61,76.11,29.17,99.44,50.72,35.94,30.94,60.89
2025-10-10 01:00:00,49,51.83,69.33,97.78,93.72,83.83,94.06,70.33,40.44
2025-10-10 02:00:00,50,58.89,40.67,95.5,43.56,49.28,44.17,99.17,96.78
2025-10-10 03:00:00,51,74.89,44.39,95.39,97.28,28.44,55,64.56,71.78
2025-10-10 04:00:00,52,45.56,75.22,16.72,89.22,79.89,99.39,17.83,59.83
2025-10-10 05:00:00,53,62.22,75.06,52.61,97.56,91.89,88.17,73.67,73.56
2025-10-10 06:00:00,54,83,62.61,95.33,98.78,96.67,67.22,99.56,47.17
2025-10-10 07:00:00,55,50.22,98.28,96.5,100,35.28,98.06,99.06,69.39
2025-10-10 08:00:00,56,91.78,78.94,98,98.72,89.17,72.67,75.22,95.78
2025-10-10 09:00:00,57,36.67,15.83,67.44,72.11,44.61,13.83,44.44,48.89
2025-10-10 10:00:00,58,23.33,42.89,76.22,24.78,28.33,36.94,46.67,44.5
2025-10-10 11:00:00,59,38.06,11.44,11.5,52.39,16.56,41.33,36.78,27.39
2025-10-10 12:00:00,60,23.44,43.89,34.67,13.89,64.11,3.5,79,37.78
2025-10-10 13:00:00,61,25.61,84.56,14.39,41.39,30.94,12,18.5,24.67
2025-10-10 14:00:00,62,23,7.44,88.5,59.5,48.22,3.5,76.61,16.89
2025-10-10 15:00:00,63,29,21.06,18,20.83,19.67,4.94,18.5,45.06
2025-10-10 16:00:00,64,50.22,17.61,9,17.22,17.61,45.56,59.78,12.39
2025-10-10 17:00:00,65,15.78,40.39,40.94,64.89,36.61,13.67,27.78,35.56
2025-10-10 18:00:00,66,38.5,25.78,31.28,28.83,44.17,9.94,47.22,32.39
2025-10-10 19:00:00,67,60.33,22.5,33.11,18.78,39.28,40.89,42.5,46.56
2025-10-10 20:00:00,68,83.39,98.39,96.61,90.17,74.44,96.94,97.78,81.67
2025-10-10 21:00:00,69,81.11,63.89,99.28,46.78,74.28,96.17,70.61,81.78
2025-10-10 22:00:00,70,64.89,55,95.78,95.06,50.67,99.28,98.28,70.28
2025-10-10 23:00:00,71,73.61,68.56,89.89,87.22,86.78,98.67,41.78,54.94
2025-10-11 00:00:00,72,55.83,71.83,42.72,91.83,78.5,98,99.67,97.17
2025-10-11 01:00:00,73,63.89,57.17,27.83,22,64.39,75.78,99.33,49.5
2025-10-11 02:00:00,74,69.94,84.83,98.44,23.39,45.39,46.67,100,75.28
2025-10-11 03:00:00,75,56.44,30.44,99.78,92.94,84.22,50.11,80.94,83.83
2025-10-11 04:00:00,76,65.89,82,98.28,28.94,57.94,52.28,17.39,32.33
2025-10-11 05:00:00,77,68.5,74.94,99.61,46.44,72.56,71.67,47.33,95.33
2025-10-11 06:00:00,78,69.56,78.78,99.06,95.67,48.89,64.78,98.44,57.33
2025-10-11 07:00:00,79,31.33,42.39,98,98.28,53.17,57.89,93.78,12.5
2025-10-11 08:00:00,80,37.56,86.72,87.5,95.72,49.56,24.22,76.5,87.5
