Time Stamp:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-09 07:00:00,31,34.11,62.61,1.17,0.28,12.28,0.11,42,59.56
2025-10-09 08:00:00,32,62,10.44,2.72,11.67,33.83,0.39,0.33,17.33
2025-10-09 09:00:00,33,74,75.89,66.94,74.67,63.67,18.33,0,67.94
2025-10-09 10:00:00,34,59.33,49.33,36.11,9.11,52.22,67.06,24.5,27.56
2025-10-09 11:00:00,35,39.83,66.89,38.22,80.06,48.78,68.67,74.61,82.06
2025-10-09 12:00:00,36,50.39,59.78,79.22,73.11,68,38.39,39.89,62.72
2025-10-09 13:00:00,37,65.33,56.06,55,23.61,80.39,59.67,36.22,61.22
2025-10-09 14:00:00,38,60.44,63.61,57.61,77.28,37.78,79,83.17,17.11
2025-10-09 15:00:00,39,40.89,61.06,43.11,64.94,59.17,69.61,74.94,62.28
2025-10-09 16:00:00,40,78.83,54.61,79.78,76.28,69.94,61.39,59.33,58.78
2025-10-09 17:00:00,41,35.17,51.56,49.22,51.39,62.44,58.72,36.94,65.33
2025-10-09 18:00:00,42,71.11,72.5,72.89,44.39,51.89,61.44,85.89,56.5
2025-10-09 19:00:00,43,32.33,32.83,28.28,51.28,41.5,24.83,40.67,55.11
2025-10-09 20:00:00,44,8.33,22.5,11.22,0.06,1.72,8.67,1.33,1.22
2025-10-09 21:00:00,45,19.06,25.78,0.78,1.33,38.5,0.72,0.67,26
2025-10-09 22:00:00,46,0.39,13,0.78,0.39,9.67,0,0,7.28
2025-10-09 23:00:00,47,44.11,39.72,55.11,0.5,1.17,4.39,0,0.44
2025-10-10 00:00:00,48,12.78,11.39,63.33,0.28,44.61,58.56,63.67,32.33
2025-10-10 01:00:00,49,39.11,25.89,0.56,3.61,10.78,4.78,26.89,49.39
2025-10-10 02:00:00,50,25.39,46.94,1.11,47,44.56,45.94,0.67,2.17
2025-10-10 03:00:00,51,18.89,49.5,1.22,1.67,58.17,35.5,33.44,23.06
2025-10-10 04:00:00,52,40,16.78,76,6.44,17.78,0.28,78.61,34.83
2025-10-10 05:00:00,53,28.22,20.22,43.11,1.33,2.5,10.28,24.72,21.33
2025-10-10 06:00:00,54,11.56,34.83,1.83,0.78,2.11,25.78,0.22,43.17
2025-10-10 07:00:00,55,41.61,0.61,2.06,0,56.67,1.11,0.61,22.56
2025-10-10 08:00:00,56,6.28,17.17,0.89,1.17,4.67,20,20.39,2.17
2025-10-10 09:00:00,57,53.28,72.33,26.11,21.5,52.72,72.61,49.56,46.89
2025-10-10 10:00:00,58,67.33,49.17,21,68.06,61.83,55,49.44,45.72
2025-10-10 11:00:00,59,58.06,79.22,79.56,43.5,72.89,47.56,58.5,63.5
2025-10-10 12:00:00,60,67.94,49.44,57.06,78.56,32.56,93.44,19.94,57.94
2025-10-10 13:00:00,61,64.61,10.78,76.33,50.17,61.39,71.11,77.33,69.67
2025-10-10 14:00:00,62,68.78,86.83,4,33.5,45.78,84.89,21.94,74.06
2025-10-10 15:00:00,63,64.89,69.06,73.33,73.06,70.11,87.44,75.22,46.39
2025-10-10 16:00:00,64,44.67,71.44,86.67,74.72,72.5,42.72,39.5,79.22
2025-10-10 17:00:00,65,78.22,52.33,51.78,25.11,55.94,77.22,68.78,53.56
2025-10-10 18:00:00,66,56.78,66.78,63.61,65.39,50.61,81.11,50.44,60.94
2025-10-10 19:00:00,67,36.11,68.94,58.83,73.28,50.94,48.89,54.33,43.61
2025-10-10 20:00:00,68,9.28,0.56,3,7.44,18.78,1.94,1.94,13.5
2025-10-10 21:00:00,69,9.78,30.22,0,44.56,17.06,1.56,28,10.78
2025-10-10 22:00:00,70,23.83,37.22,2.67,3.22,34.56,0.39,0.61,23.94
2025-10-10 23:00:00,71,15.28,21.56,8.83,11.83,7.67,0.56,54.89,33.94
2025-10-11 00:00:00,72,34,25.22,52.89,5.89,12.94,0.67,0.33,1.11
2025-10-11 01:00:00,73,23.5,33.33,68.22,71.33,32.06,21.89,0.33,38.72
2025-10-11 02:00:00,74,25.39,14.33,1.22,67.5,49.17,41,0,14.61
2025-10-11 03:00:00,75,34.17,57.17,0.11,2.22,11.22,35.11,17.56,11.89
2025-10-11 04:00:00,76,27.33,10.56,0.94,65.33,37.78,33.17,77.5,50.39
2025-10-11 05:00:00,77,27.17,20.06,0.33,41.67,17.44,18.17,50.06,2.22
2025-10-11 06:00:00,78,27.61,20.72,0.39,1.44,39.83,24.22,0.89,35.33
2025-10-11 07:00:00,79,59.72,44.83,1.5,0.78,43.06,33.78,2.94,75.94
2025-10-11 08:00:00,80,53.83,12.44,11.17,2.67,41.56,64.72,20.11,10.61
