Time Stamp:,Linear Time:,F1,M1,M2,M6,F5,M7,F3,F6
2025-10-09 07:00:00,31,61.28,37.78,94.56,0.22,45.72,89.39,98.11,92.56
2025-10-09 08:00:00,32,92.22,78.22,82,0.11,93.11,94.56,96.61,99.83
2025-10-09 09:00:00,33,95.61,22.56,16.72,0.5,48.78,72.89,98.39,91.72
2025-10-09 10:00:00,34,92.56,74.61,34.11,0.33,63.72,34.33,92.06,30.44
2025-10-09 11:00:00,35,13.28,10.44,25.5,0.17,24.11,34,28.44,38.83
2025-10-09 12:00:00,36,53.56,34.39,22.39,0.17,37.67,28.89,32.22,27.28
2025-10-09 13:00:00,37,11.17,11.22,17.67,0.28,25.67,41.06,36.33,75.39
2025-10-09 14:00:00,38,48,74.11,47.83,0,30.22,23.44,30.89,10.56
2025-10-09 15:00:00,39,15.17,18.61,50.94,0,14.94,21.56,10.61,22.5
2025-10-09 16:00:00,40,57.5,42.67,17.94,0,11.33,43.39,8.33,20.5
2025-10-09 17:00:00,41,13.89,33.22,34.06,0,73.06,28.61,33.72,67.5
2025-10-09 18:00:00,42,36.28,22.28,34.22,0,34.61,31.72,16.11,12.44
2025-10-09 19:00:00,43,42.33,49.44,33.67,0,42.5,53.17,51.22,53.44
2025-10-09 20:00:00,44,83.83,77.61,88,0.22,98.78,80.22,81.83,99.11
2025-10-09 21:00:00,45,79.39,63.17,75.78,0.06,99.78,100,97.44,91.44
2025-10-09 22:00:00,46,86.89,57,47.5,0,99.89,99.56,99.56,97.72
2025-10-09 23:00:00,47,99,95.22,77.61,0.11,99.06,99.11,99.06,85.06
2025-10-10 00:00:00,48,99.67,38.89,68,0,91.56,96.22,87.61,59.83
2025-10-10 01:00:00,49,99.33,94.5,50.5,0,92.83,45.89,62.39,79.56
2025-10-10 02:00:00,50,99.11,73.89,88.72,0.17,51.94,75.11,41.33,97.44
2025-10-10 03:00:00,51,97.89,65.83,43.67,0,53.89,95.72,99,59
2025-10-10 04:00:00,52,98.5,62.39,91.44,0,81.28,40,56.17,98.44
2025-10-10 05:00:00,53,97.33,96.78,79.72,0.17,47.17,77.39,86.61,95.56
2025-10-10 06:00:00,54,97.94,75.72,93.44,0,92.44,99.06,98.72,97.83
2025-10-10 07:00:00,55,85.44,98.83,95.17,0,98.89,93,99.89,98.5
2025-10-10 08:00:00,56,56.89,71.83,66.44,78.83,98.39,46.94,74.89,66.06
2025-10-10 09:00:00,57,32.5,54.72,60.44,55.17,60.06,48.28,30.22,24.94
2025-10-10 10:00:00,58,28.33,24.28,16.56,87.72,42.33,34.11,16.83,23.17
2025-10-10 11:00:00,59,12.11,20.39,28.67,25.61,9.61,25.44,17.83,66.61
2025-10-10 12:00:00,60,56.22,20.44,73.17,48.72,55.17,33.17,22.06,11.72
2025-10-10 13:00:00,61,29.39,26.39,8.56,42.78,14.67,18.06,25.06,58.94
2025-10-10 14:00:00,62,39.5,31.56,57.56,73.5,85.67,29.72,63.17,50.61
2025-10-10 15:00:00,63,32.44,78,10.5,47.67,21.5,54.56,40.67,5.67
2025-10-10 16:00:00,64,9.17,24.06,16.89,31.78,42.22,23.67,5,16.39
2025-10-10 17:00:00,65,48.67,15.61,67.94,12.61,27.39,32.33,11.61,40
2025-10-10 18:00:00,66,29.5,27.39,18.78,60.56,40.72,39,46.5,8.61
2025-10-10 19:00:00,67,35.11,55.22,31.5,25.28,29,47.78,5.83,33.72
2025-10-10 20:00:00,68,88.83,58.5,72.39,86.06,91.5,82.28,70.78,93.56
2025-10-10 21:00:00,69,67.72,40.94,59.28,98.72,97.39,77.33,50.39,56.44
2025-10-10 22:00:00,70,94.78,94.17,66.17,56.17,97.78,46.83,81.33,82.39
2025-10-10 23:00:00,71,85.72,42.94,74.89,40,98.56,70.33,97.61,93.61
2025-10-11 00:00:00,72,51,50.39,70.22,99.83,45.67,99.11,68.94,60.5
2025-10-11 01:00:00,73,82.06,87.22,84.56,99.61,43.11,41.39,69.39,19.89
2025-10-11 02:00:00,74,94.44,36.44,44.22,26.39,98.78,42.33,98.06,63.67
2025-10-11 03:00:00,75,71.94,69.83,47.39,21.11,81.5,84.33,85,96.78
2025-10-11 04:00:00,76,19.44,64.39,55.17,28.56,22.39,46.39,90.94,95.06
2025-10-11 05:00:00,77,65.22,81.22,81.94,67.72,90.56,68.94,99.22,95.72
2025-10-11 06:00:00,78,95.5,68.44,93.78,77.72,96.5,97.56,100,94.83
2025-10-11 07:00:00,79,94.78,98.06,98,83.94,90.06,54.5,76.72,99.56
2025-10-11 08:00:00,80,99.28,68,92.94,83.78,99.22,91.61,79.89,94.89
