Time Stamp:,Linear Time:,F1,M1,M2,M6,F5,M7,F3,F6
2025-10-09 07:00:00,31,31.67,56.83,1.33,94.67,45.33,9.56,1.44,4.33
2025-10-09 08:00:00,32,6,18.28,14.83,88.83,4.89,5.17,1.83,0
2025-10-09 09:00:00,33,1.67,69.72,78.83,56.67,46.94,25.72,0.94,4.39
2025-10-09 10:00:00,34,2.33,22.94,58.5,64.22,32.83,59.33,2.33,60.94
2025-10-09 11:00:00,35,76.78,81.78,58.44,57.72,70.61,61.44,61.22,48
2025-10-09 12:00:00,36,36.89,58.28,72.56,59.5,53.5,67.39,59.28,59.44
2025-10-09 13:00:00,37,80.94,80.33,76.72,52.28,68.72,51.61,56.61,16.33
2025-10-09 14:00:00,38,42.44,21.06,43.61,62.28,63.61,72.78,50.11,82.89
2025-10-09 15:00:00,39,75.33,72.11,40.44,56.83,80.06,71.22,81.11,65
2025-10-09 16:00:00,40,36.44,50.22,76.33,51.11,80.72,51.17,81.33,65.44
2025-10-09 17:00:00,41,77.11,56.28,57.06,53.28,24.44,67.06,54.72,26.94
2025-10-09 18:00:00,42,57.61,63.72,59.83,53.39,62.61,62.56,77.39,82.94
2025-10-09 19:00:00,43,49.89,43,57.89,54.11,54.22,42.28,42.28,41.5
2025-10-09 20:00:00,44,13.94,18.5,8,83.39,0.78,16.94,13.94,0.83
2025-10-09 21:00:00,45,17.83,35.11,20.78,77.67,0.17,0,1.39,6.78
2025-10-09 22:00:00,46,10.94,37.67,45.39,54.67,0.11,0.11,0.17,2.06
2025-10-09 23:00:00,47,0.33,4.22,20.61,77.61,0.5,0.33,0.44,13.44
2025-10-10 00:00:00,48,0.17,52.22,27.94,67.44,7.11,2.78,9.89,36.94
2025-10-10 01:00:00,49,0.06,2.56,44.33,64.28,5.17,47.44,26.83,18.44
2025-10-10 02:00:00,50,0.28,21.72,6.67,77.5,42.94,21.83,46.72,1.39
2025-10-10 03:00:00,51,1.17,22.61,49.11,59.56,40.11,1.17,0.33,39.67
2025-10-10 04:00:00,52,0.33,28.44,3.83,83.94,14.5,52,36.39,1.11
2025-10-10 05:00:00,53,0.89,1.28,17.67,78.67,44.22,15.17,10.94,3.22
2025-10-10 06:00:00,54,0.67,17.56,3.78,87.56,2.11,0.67,0.61,1
2025-10-10 07:00:00,55,6.78,0.28,1.44,88.28,0.5,3.56,0.11,1
2025-10-10 08:00:00,56,34.94,25.56,30.89,20.94,1.17,49,19.89,26.56
2025-10-10 09:00:00,57,47.89,39.22,36.33,42.72,35.56,42,65.17,70.89
2025-10-10 10:00:00,58,61.17,67.11,74,11.83,55.11,61.67,76.39,72.72
2025-10-10 11:00:00,59,76.39,66,64.72,70.17,80.44,69.61,71.33,26.94
2025-10-10 12:00:00,60,34.67,69.94,21.39,48.33,41.33,59.44,71.11,82.67
2025-10-10 13:00:00,61,60.61,68.72,83.22,54.72,81,74,67,35.5
2025-10-10 14:00:00,62,48.61,64.11,33,25.83,12.78,58.83,31.89,43.89
2025-10-10 15:00:00,63,60.56,20.11,77.83,50,69.61,43.83,46.56,93.33
2025-10-10 16:00:00,64,84,70.5,70.56,61.22,54.89,68.22,93.11,80.11
2025-10-10 17:00:00,65,45.56,75.89,27.22,79.72,67.44,62.11,81.06,56.28
2025-10-10 18:00:00,66,59.33,65.11,73.33,28.89,56.89,55,45.17,89.28
2025-10-10 19:00:00,67,56.67,38.67,59.11,68.61,62,48.17,93.72,63
2025-10-10 20:00:00,68,8.06,32.94,23.67,10.56,5.61,15.39,21.83,4.06
2025-10-10 21:00:00,69,29.44,54.39,36.5,0.17,1.39,21.5,44.89,41.72
2025-10-10 22:00:00,70,3.89,3.22,26.17,39.44,0.94,47.33,17.39,16.22
2025-10-10 23:00:00,71,12.11,47.06,18.67,53.28,0.78,24.39,1.67,4.78
2025-10-11 00:00:00,72,42.83,42.22,26.5,0,48.67,0.22,25.56,37.89
2025-10-11 01:00:00,73,14.11,7.94,13.67,0.17,50.39,51.22,25.22,72.22
2025-10-11 02:00:00,74,2.11,52.33,47.17,67.11,0.39,44.94,1.72,35.39
2025-10-11 03:00:00,75,26.89,19.17,39.72,67.83,17.28,10.78,10.33,2.33
2025-10-11 04:00:00,76,74.5,28.56,35.17,60.39,65.33,48.78,6.11,2.56
2025-10-11 05:00:00,77,32.22,14.94,14.33,28.56,6.67,26.06,0.78,3.72
2025-10-11 06:00:00,78,1.28,24.33,1.72,19.56,2,0.56,0,4.17
2025-10-11 07:00:00,79,3.33,0.17,0.72,11.83,7.72,42.61,18.17,0.28
2025-10-11 08:00:00,80,0.67,30.89,6.39,13.39,0.39,7.33,13.78,4.11
