	dmso	drug
0	349.43333333333334	367.96666666666664
1	286.93333333333334	261.21666666666664
2	275.6666666666667	278.25
3	689.4833333333333	294.03333333333336
4	170.65	213.78333333333333
5	881.0666666666667	600.2
6	271.9166666666667	414.76666666666665
7	866.15	352.71666666666664
8	280.65	565.65
9	485.3	402.35
10	221.26666666666668	237.58333333333334
11	791.05	378.35
12	296.23333333333335	551.7666666666667
13		210.73333333333332
14		415.3
15		549.2166666666667
16		325.81666666666666
17		577.35
18		571.8666666666667
19		444.6166666666667
20		642.05
21		508.9166666666667
