	dmso-het	drug-het
0	0.9768229546537105	1.1361549030552496
1	1.09381790616546	1.2907735955838964
2	1.0193214075903905	1.255061164041407
3	1.1151344552189235	1.2977433165316152
4	1.2047567361869949	1.3186020418434286
5	1.2580821414778633	1.5806698370951209
6	1.139348542518593	1.2776112146133678
7	1.2022138837935414	1.7597036088623486
8	1.3117259782358242	1.4754758054494934
9	1.4173470286653136	1.572727485525482
10	1.4127557015282195	1.3813348210862815
11	1.634869009663647	
12	1.5954711497482013	
13	1.4873125698851088	
14	1.3042473259633476	
