Time Stamp:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-16 08:00:00,32,75.94,73.5,95.72,76.33,75.39,45.89,31.78,43.11
2025-10-16 09:00:00,33,24.28,43.56,50.22,29.56,15.56,23.11,25.89,17.94
2025-10-16 10:00:00,34,43.22,41.94,25,21.83,51,43.17,12.72,17.39
2025-10-16 11:00:00,35,46.61,43.83,74.67,38.33,19.5,51.56,61.11,23.11
2025-10-16 12:00:00,36,16.61,24.72,13.39,39.06,33.72,36.94,21.56,63.89
2025-10-16 13:00:00,37,45.78,19.78,30.94,90,41.56,18.78,17.94,24.06
2025-10-16 14:00:00,38,30.61,72.72,30.22,28,51.78,39.72,23.89,16.5
2025-10-16 15:00:00,39,18.83,18.94,33.11,19,44.61,33.72,32.89,36.94
2025-10-16 16:00:00,40,23.33,23.61,24.94,38.72,27.28,43.78,52.67,30.89
2025-10-16 17:00:00,41,33.5,14.67,70.11,35.39,51.33,27.72,29.94,18.78
2025-10-16 18:00:00,42,72.56,62.72,14.44,40.83,37.06,49.5,13.94,29.17
2025-10-16 19:00:00,43,18.5,31.72,79.44,73.06,70.06,58.72,45.11,42.94
2025-10-16 20:00:00,44,77.44,97.67,80.78,99.72,91.17,100,96.56,94.33
2025-10-16 21:00:00,45,52.5,98.56,96.78,99.11,96.89,98.61,97.67,88.33
2025-10-16 22:00:00,46,68.06,43.06,38.22,100,96.33,100,94.44,47
2025-10-16 23:00:00,47,54.56,59.5,73.56,99.78,51.61,71.94,96.5,99.28
2025-10-17 00:00:00,48,59.72,77.11,96.89,75,52.44,22.06,56.78,61.17
2025-10-17 01:00:00,49,73.72,38.44,98.17,25.28,77.22,59.61,94.67,86.56
2025-10-17 02:00:00,50,56.83,67.22,75.56,22.56,45.78,98,93.28,55.72
2025-10-17 03:00:00,51,54.17,99.67,14.22,97.44,52.33,20.78,33.39,52.56
2025-10-17 04:00:00,52,70.5,46.22,17.06,73.67,97.83,44.72,20.89,94.78
2025-10-17 05:00:00,53,82.39,83.61,81.28,38.67,95.67,99.56,66.17,99.39
2025-10-17 06:00:00,54,82.33,77.56,98.67,98.17,36.94,96.94,82.44,33.5
2025-10-17 07:00:00,55,51.89,98.39,98.39,47.11,72.44,99.78,26.67,80.06
2025-10-17 08:00:00,56,97.89,79.89,97.06,85.22,70.17,60.94,96.06,75
2025-10-17 09:00:00,57,45.44,32.56,50,27.94,11.39,25.61,47.72,48.33
2025-10-17 10:00:00,58,14.89,15.89,19.56,87.28,33.56,59.39,34.83,30.11
2025-10-17 11:00:00,59,18.17,44,33.28,15.11,10.94,27.06,45.83,16.28
2025-10-17 12:00:00,60,52.61,23.17,84.72,20.5,25.5,21.78,24.17,52.33
2025-10-17 13:00:00,61,14.83,98.89,18.67,45.5,38.06,41.89,76.39,55.17
2025-10-17 14:00:00,62,81.94,22.89,32.56,8.67,14.28,9.06,21.39,12.44
2025-10-17 15:00:00,63,38.67,7.28,12.39,25.56,9,21.39,49.33,31.94
2025-10-17 16:00:00,64,25.17,23.78,31.33,26.94,17.17,84.94,23.89,18.11
2025-10-17 17:00:00,65,42.33,31.39,32.83,59.83,48.78,23.06,24.33,31.78
2025-10-17 18:00:00,66,24.44,26.89,48.22,12.17,32.28,37.06,37.17,37.28
2025-10-17 19:00:00,67,61.06,46.56,33.78,50.83,37.06,56.22,44.89,52.06
2025-10-17 20:00:00,68,79.94,91.28,68.22,99.11,94.67,100,95.44,81.94
2025-10-17 21:00:00,69,64.67,97.83,97,97.89,79.94,99.61,94.83,75.94
2025-10-17 22:00:00,70,62.5,67.56,96.06,99.56,54.44,100,97.28,84
2025-10-17 23:00:00,71,69,67.39,80.17,91.83,93.06,98.89,98.67,80.22
2025-10-18 00:00:00,72,83.28,66.5,25.28,40.67,55.5,51,94.89,57.44
2025-10-18 01:00:00,73,49.28,75.06,86.56,73.94,96.56,25.5,92.67,71.39
2025-10-18 02:00:00,74,92.56,96.78,95.94,63.56,42.28,92.67,54.39,81.61
2025-10-18 03:00:00,75,51.5,30.44,59.11,47.17,33.89,33.89,24.39,45.28
2025-10-18 04:00:00,76,78.11,61.56,12.44,31.67,84.89,50.39,71.5,52.39
2025-10-18 05:00:00,77,69.72,86.83,40.5,98.61,98.06,98,93.39,97.33
2025-10-18 06:00:00,78,60.61,80,98.56,98.61,96.56,99.17,60.56,82.5
2025-10-18 07:00:00,79,50.56,59.22,95.89,93.17,96.89,49.67,11.39,34.67
