Time Stamp:,Linear Time:,F1,M1,M2,M6,F5,M7,F3,F6
2025-10-16 08:00:00,32,1.72,3.67,2.33,3.28,6.5,0.83,2.22,2.94
2025-10-16 09:00:00,33,10.67,7.61,7.39,6.94,5.78,4.06,0.44,0.61
2025-10-16 10:00:00,34,12.67,8.83,9.11,5.78,2.94,2.06,1.44,6.17
2025-10-16 11:00:00,35,7.17,9.72,7.11,9.67,6.94,5.17,5.28,7.78
2025-10-16 12:00:00,36,10.94,5.67,3.56,3.72,8.67,4.61,6.83,7.44
2025-10-16 13:00:00,37,6.94,6.61,2.28,4.11,10.33,5.94,4.94,5
2025-10-16 14:00:00,38,5.44,10.5,5.5,4.22,9.78,6.56,5.56,7.22
2025-10-16 15:00:00,39,8.17,11.89,9.33,5.22,6.89,5.44,5.39,7.83
2025-10-16 16:00:00,40,12.11,15.11,6.5,5.56,3.89,6.11,7.56,3.06
2025-10-16 17:00:00,41,8.22,7.67,11.33,3.39,7.22,6.61,6.83,3.67
2025-10-16 18:00:00,42,12.17,6.94,8.28,2.56,8.22,6.94,7.28,7.5
2025-10-16 19:00:00,43,12.39,8.5,8.61,4.11,5.72,7.22,10.22,9.22
2025-10-16 20:00:00,44,3.83,3.22,4.44,0.67,1.06,3.33,2.83,1.22
2025-10-16 21:00:00,45,4.33,2.39,1.28,0.39,1,0.22,3.61,0.44
2025-10-16 22:00:00,46,4.06,3.78,1.22,4.94,2.28,0.94,2.28,0.56
2025-10-16 23:00:00,47,2.39,11.17,1.5,5.11,0.83,1.11,1.06,0
2025-10-17 00:00:00,48,3.56,6.33,2.17,3.28,2.83,6.83,0.83,0.44
2025-10-17 01:00:00,49,10.5,2.17,0.44,3.33,1.5,2.39,0.5,0.61
2025-10-17 02:00:00,50,6.5,3.5,4.83,2.89,7.11,0.56,4.28,1.83
2025-10-17 03:00:00,51,3,6.89,2.22,3.78,9.28,5.67,5,0.78
2025-10-17 04:00:00,52,3,10.83,3.56,10.28,6,0.56,7.17,1.17
2025-10-17 05:00:00,53,5.89,4.39,1.22,2.56,1.89,0.72,2.89,0.28
2025-10-17 06:00:00,54,2.72,8.72,1.33,3.5,1.39,0.89,3.11,3.56
2025-10-17 07:00:00,55,4.33,2.61,3.83,0.11,3.72,3.22,1.89,6.22
2025-10-17 08:00:00,56,1.61,1.72,3.72,6.06,2.17,1.89,1.33,1.22
2025-10-17 09:00:00,57,7.22,7.89,10.56,9.67,7.22,4.83,2.11,9.78
2025-10-17 10:00:00,58,2.33,5,3.94,9.5,7.5,4.11,4.56,6.44
2025-10-17 11:00:00,59,3.83,6.56,5,5.78,7.22,7.78,3.83,7.39
2025-10-17 12:00:00,60,7.83,3.89,6.61,10.17,4.39,5.89,5.5,5.72
2025-10-17 13:00:00,61,6.61,9.33,8.17,12.44,6.83,7.5,9.22,5.78
2025-10-17 14:00:00,62,4.39,8,8.22,7.06,3.89,6.67,7.5,8.44
2025-10-17 15:00:00,63,4.61,6.28,6,6.89,7.5,8.44,7.39,6.17
2025-10-17 16:00:00,64,10.22,6.39,4.22,5.33,5.83,11.67,9.78,7.17
2025-10-17 17:00:00,65,7.11,3.28,3.11,10.28,4.44,6.5,11.33,7.72
2025-10-17 18:00:00,66,9.94,8.94,7.61,8.44,6.78,5.5,13.94,10.33
2025-10-17 19:00:00,67,11.33,5.61,5.22,8.17,9.06,5.94,6.33,10.22
2025-10-17 20:00:00,68,7.28,2.67,4,4.33,1.61,2.5,4.33,1.67
2025-10-17 21:00:00,69,4.89,3.78,4.83,5.39,0.72,1.06,3.67,1.89
2025-10-17 22:00:00,70,4.17,7.33,5.83,3.56,3.72,0.94,0.94,0.56
2025-10-17 23:00:00,71,2.61,4.17,2.78,7.11,10.67,1.22,1.67,0.11
2025-10-18 00:00:00,72,2.72,5.94,1.39,5.72,5.06,2.61,1.83,1.44
2025-10-18 01:00:00,73,2,7.28,1.44,1.44,3.61,8.61,1.67,1
2025-10-18 02:00:00,74,7,2.17,8.11,7,5.22,1.44,2.11,0.17
2025-10-18 03:00:00,75,3.33,8.78,3.5,9.78,4.06,1.5,6.89,5
2025-10-18 04:00:00,76,8.94,7.78,8.22,15,8.06,6.56,15.06,8.94
2025-10-18 05:00:00,77,10.44,7.67,2.28,2.33,5.44,9.94,5.44,4.94
2025-10-18 06:00:00,78,4.17,3.72,1.67,2.39,2.78,0.89,1.33,18.89
2025-10-18 07:00:00,79,0.83,2.17,1.33,0.39,2.5,1.78,2.11,14.83
