Time Stamp:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-16 08:00:00,32,4.56,0.56,1.89,2.22,2.56,6.44,6.5,8.28
2025-10-16 09:00:00,33,13.89,3.56,4.5,9.83,5.06,7.33,12.61,11.39
2025-10-16 10:00:00,34,6.39,4.28,7.61,5.61,5.56,6.94,12.11,10.06
2025-10-16 11:00:00,35,4.78,4.72,5.39,5.39,6.5,4.61,10.39,6.5
2025-10-16 12:00:00,36,9.28,3.44,5.67,5.94,6.44,3.61,10.94,4.44
2025-10-16 13:00:00,37,5.44,4.61,5.56,2.72,3.33,5.11,6.94,7.11
2025-10-16 14:00:00,38,5.06,1.72,4.61,5.17,8.39,4.67,9.83,8.56
2025-10-16 15:00:00,39,13.56,6.28,8.06,7.39,3.5,2.83,7.28,8.39
2025-10-16 16:00:00,40,6.06,5.94,11.06,6.44,4.33,2.67,7.22,12.28
2025-10-16 17:00:00,41,6.72,12.17,3.28,8.28,5.94,4.17,7.06,10.17
2025-10-16 18:00:00,42,4.83,2.78,6.89,4.06,4.83,4.61,10.44,15.61
2025-10-16 19:00:00,43,10,11.5,3.06,3.11,3.11,5.11,9.78,8.83
2025-10-16 20:00:00,44,5.22,1.39,3.44,0.11,3.61,0,2.11,3.56
2025-10-16 21:00:00,45,11.94,0.94,1.67,0.33,1.17,0.94,1.78,1.5
2025-10-16 22:00:00,46,5.78,5,6,0,2.06,0,3.56,11.33
2025-10-16 23:00:00,47,7.06,6.5,3.72,0.11,3.28,3.06,2,0.33
2025-10-17 00:00:00,48,10.17,1.33,2,2.06,4.94,7.11,3.83,5
2025-10-17 01:00:00,49,6.39,7.33,1.28,5.61,2.28,2.83,1.56,5.78
2025-10-17 02:00:00,50,7.61,9.83,3.06,7.56,8.5,1.17,3.94,8.17
2025-10-17 03:00:00,51,13.56,0.28,6.89,1.61,8.72,5.44,3.67,21
2025-10-17 04:00:00,52,13.67,5.33,10.67,2.83,1,2.33,9.72,2.61
2025-10-17 05:00:00,53,2.06,1.28,2.78,6.5,1.72,0.22,7.28,0.39
2025-10-17 06:00:00,54,9.83,3.28,0.61,1.28,2.56,0.94,2.94,17.39
2025-10-17 07:00:00,55,8.39,1,1.28,5.5,2.83,0.06,4.17,8.22
2025-10-17 08:00:00,56,0.67,1,1.28,7.22,4.44,7.17,0.61,3.28
2025-10-17 09:00:00,57,8.28,5,6.61,10.94,7.39,9.17,5.56,6.83
2025-10-17 10:00:00,58,8.67,12.72,10.44,4.11,11.56,6.61,3.39,3.83
2025-10-17 11:00:00,59,9.44,7.33,6.61,7.33,7.94,7.22,4.33,6.17
2025-10-17 12:00:00,60,3.89,8.72,3.72,7.72,5.78,4.72,6.06,3.89
2025-10-17 13:00:00,61,6.61,0.5,7.06,4.17,10.11,5.61,1.44,3.06
2025-10-17 14:00:00,62,2.11,10.89,6.22,10.67,9.44,5.94,4.44,7.67
2025-10-17 15:00:00,63,2.94,10.67,9.94,9.67,9.44,9.33,5.72,6.17
2025-10-17 16:00:00,64,7,15.67,14.06,6,5.11,1.67,9.06,12.44
2025-10-17 17:00:00,65,7.06,11.5,12.67,4.83,3.94,2.11,12,8.61
2025-10-17 18:00:00,66,11.28,8.06,10.56,8.39,7.33,4.33,6.28,9.17
2025-10-17 19:00:00,67,7.56,10.5,10.61,6.28,11.17,3,8.17,9.22
2025-10-17 20:00:00,68,6.39,1.06,6.61,0.44,2.11,0,2.39,5.89
2025-10-17 21:00:00,69,7.89,1.5,2,0.89,3.5,0.17,2.22,7.44
2025-10-17 22:00:00,70,9.94,2.28,2.78,0.22,7.44,0,1.67,2.44
2025-10-17 23:00:00,71,8.44,9.17,2.06,1.83,3.39,0.33,0.83,2.11
2025-10-18 00:00:00,72,4.56,2.67,9.72,5.89,5.44,3.28,1.56,13.28
2025-10-18 01:00:00,73,9.11,10.94,5.5,2.56,1.22,5.78,3.22,15.28
2025-10-18 02:00:00,74,2.06,2.11,2.39,4.78,5.89,4.44,6.83,5.83
2025-10-18 03:00:00,75,17.11,23,5.28,4.28,5.72,3.67,8.56,16.17
2025-10-18 04:00:00,76,7.72,18.33,6.28,6.5,2.11,4.61,5.44,18.39
2025-10-18 05:00:00,77,10.67,5.33,12.33,0.89,0.56,0.5,2.67,1
2025-10-18 06:00:00,78,9.44,3.83,0.56,0.72,1.67,0.17,7.39,1.5
2025-10-18 07:00:00,79,16.11,7.61,1.78,0.5,0.61,4.61,10.11,13.44
