,Start Time: ,2025-10-16 08:00:00, End Time:,2025-10-18 08:00:00,,,,
Mouse IDs: ,F1,M1,M2,M6,F5,M7,F3,F6
2025-10-16 08:00:00,5.75,3.97,0.92,0.77,5.85,5.82,5.56,1.04
2025-10-16 08:01:00,5.63,5.05,5.76,4.41,4.72,5.53,5.73,4.91
2025-10-16 08:02:00,5.61,3.92,5.29,3.98,5.78,5.44,5.38,3.29
2025-10-16 08:03:00,5.59,5.26,5.88,5.13,6,5.77,5.05,4.14
2025-10-16 08:04:00,6,5.77,5.37,5.68,5.08,4.86,4.88,5.49
2025-10-16 08:05:00,6,5.7,5.73,5.19,5.97,4.91,4.76,5.5
2025-10-16 08:06:00,6,5.66,5.12,5.91,5.58,4.78,4.77,4.99
2025-10-16 08:07:00,6,6,5.36,5.84,5.89,4.39,4.38,5.81
2025-10-16 08:08:00,6,5.93,5.03,5.88,4.88,5.31,5,3.84
2025-10-16 08:09:00,6,5.99,5.13,4,4.75,3.55,5.43,1.63
2025-10-16 08:10:00,6,6,2.26,6,5.19,5.85,4.73,4.05
2025-10-16 08:11:00,6,4.06,5.2,6,1.09,5.27,4.65,5.54
2025-10-16 08:12:00,5.93,6,4.54,5.69,1.67,5.93,5.19,5.26
2025-10-16 08:13:00,5.96,6,6,0.38,2.21,5.77,4.55,4.69
2025-10-16 08:14:00,6,5.65,5.97,4,2.46,5.54,3.8,4.27
2025-10-16 08:15:00,5.99,5.83,5.96,5.61,4.05,5.62,4.61,4.73
2025-10-16 08:16:00,3.4,5.96,4.53,2.09,5.25,4.92,5.38,3.8
2025-10-16 08:17:00,5.46,5.83,5.9,2.94,6,4.93,5.74,4.4
2025-10-16 08:18:00,6,5.69,5.67,6,5.98,4.54,5.16,3.44
2025-10-16 08:19:00,6,5.79,5.43,4.91,6,4.27,4.95,4.67
2025-10-16 08:20:00,6,2.65,4.94,5.65,6,4.61,5.71,5.28
2025-10-16 08:21:00,6,1.59,6,5.95,2.72,5.05,5.92,5.81
2025-10-16 08:22:00,5.79,4.52,5.29,6,4.59,4.98,4.34,5.99
2025-10-16 08:23:00,5.22,3.27,5.18,6,4.44,5.22,1.27,5.8
2025-10-16 08:24:00,6,5.06,2.99,5.99,2.68,5.3,5.89,4.75
2025-10-16 08:25:00,5.83,6,5.13,5.83,4.79,5.29,5.18,5.22
2025-10-16 08:26:00,5.86,5.66,6,6,5.89,1.59,5.75,5.14
2025-10-16 08:27:00,5.64,5.99,6,6,3.02,5.29,5.74,5.24
2025-10-16 08:28:00,5.93,2.22,6,3.43,4.85,5.62,4.9,5.9
2025-10-16 08:29:00,6,3.56,5.85,3.62,3.97,5.59,4.71,5.79
2025-10-16 08:30:00,6,5.85,4.64,5.07,1.28,5.7,6,0.32
2025-10-16 08:31:00,4.75,5.21,5.86,5.64,4.88,5.29,5.43,4.53
2025-10-16 08:32:00,3.3,5.45,5.88,5.88,5.69,5.1,5.95,5.69
2025-10-16 08:33:00,5.8,1.75,5.93,6,4.87,4.09,3.98,5.8
2025-10-16 08:34:00,6,4.62,6,5.19,6,5.09,5.42,5.65
2025-10-16 08:35:00,6,5.16,6,5.33,6,6,6,5.32
2025-10-16 08:36:00,6,5.37,5.77,6,1.22,5.56,5.58,2.6
2025-10-16 08:37:00,3.46,4.37,2.48,6,0.25,3.38,5.86,4.39
2025-10-16 08:38:00,5.03,3.61,5.4,6,5.33,3.23,5.82,5.93
2025-10-16 08:39:00,5.84,3.34,5.26,6,2.15,5.41,4.95,6
2025-10-16 08:40:00,5.66,0,3.3,6,0.97,5.88,5.15,5.35
2025-10-16 08:41:00,6,0.17,2.05,6,3.57,5.83,5.21,4.59
2025-10-16 08:42:00,4.96,0,1.58,6,3.84,5.56,5.9,6
2025-10-16 08:43:00,5.54,0,2.24,6,4.55,6,5.88,5.4
2025-10-16 08:44:00,4.55,0.24,0,6,2.33,6,3.93,5.37
2025-10-16 08:45:00,1.21,0.47,0,6,4.06,6,5.42,1.71
2025-10-16 08:46:00,5.71,0,0,6,4.66,6,1.67,1.65
2025-10-16 08:47:00,5.73,0.72,0,5.74,3.02,5.92,2.74,5.28
2025-10-16 08:48:00,6,1.12,0,5.16,3.58,5.56,6,4.15
2025-10-16 08:49:00,6,0,0.49,1.61,4.01,1.02,5.9,5.45
2025-10-16 08:50:00,6,0,0.2,0.74,5.74,2.23,5.98,5.69
2025-10-16 08:51:00,5.97,2.15,0,4.83,6,5.55,5.09,5.77
2025-10-16 08:52:00,6,0.17,0.4,3.95,5.86,6,5.34,4.83
2025-10-16 08:53:00,6,0.26,0.3,5.74,5.85,5.9,3.78,5.96
2025-10-16 08:54:00,4.86,0,0.5,5.6,5.97,6,0.77,5.39
2025-10-16 08:55:00,5.74,0,0,5.72,4.62,6,4.77,4.71
2025-10-16 08:56:00,5.65,0.92,1.09,5.26,5.18,5.59,5.41,5.22
2025-10-16 08:57:00,4.21,1.59,0.77,5.77,5.62,2.43,5.58,4.59
2025-10-16 08:58:00,5.17,0.28,2.04,5.16,6,3.37,5.93,5.68
2025-10-16 08:59:00,3.03,2.16,1.09,3.68,5.9,3.69,2.56,5.67
2025-10-16 09:00:00,1.18,0,0,4.25,6,3.91,5.93,3.51
2025-10-16 09:01:00,1.45,1.47,0,4.85,5.76,4.6,5.92,4.77
2025-10-16 09:02:00,3.44,0.29,0,6,6,3.91,6,5.49
2025-10-16 09:03:00,5.88,0,0,4.8,6,4.92,5.89,5.68
2025-10-16 09:04:00,2.93,0,0,0.97,6,4.38,4.64,5.24
2025-10-16 09:05:00,4.48,0.91,0,0.42,6,0.54,4.82,5.7
2025-10-16 09:06:00,5.5,0,0.37,0.08,6,0,5.25,5.49
2025-10-16 09:07:00,5.96,0.47,0,0,5.28,0,5.77,5.44
2025-10-16 09:08:00,1.99,0,0,0,6,1.92,5.33,5.43
2025-10-16 09:09:00,1.03,0.24,2.93,0,2.09,0.7,5.95,3.19
2025-10-16 09:10:00,0.73,0.77,0.23,0,5.36,0.15,5.87,3.94
2025-10-16 09:11:00,1.7,1.17,0,0,5.99,0,5.68,5.48
2025-10-16 09:12:00,1.94,0.91,0.12,0.77,5.9,0.04,4,6
2025-10-16 09:13:00,1.13,0.31,1.27,0,5.72,1.12,4.28,3.59
2025-10-16 09:14:00,1.66,1.49,0,0,5.86,0,5.66,0.92
2025-10-16 09:15:00,3.28,0.21,0.99,0.09,2.28,0,5.83,5.94
2025-10-16 09:16:00,1.01,0.24,0.66,1.56,1.99,0,5.35,5.79
2025-10-16 09:17:00,1.45,0.47,0.2,1.27,4.46,0,5.6,5.31
2025-10-16 09:18:00,0.23,0,0,0,2.26,0,5.93,5.57
2025-10-16 09:19:00,0.07,0,0.01,0.65,2.93,0,5.87,5.06
2025-10-16 09:20:00,0,3.24,0.63,0.12,4.09,0.66,5.96,6
2025-10-16 09:21:00,0.24,3.05,0,0,5.88,0.19,5.78,5.89
2025-10-16 09:22:00,0.21,3.52,0,0,5.56,0.09,3.57,5.7
2025-10-16 09:23:00,0,2.95,0.11,0,5.87,0,5.73,5.65
2025-10-16 09:24:00,0,2.31,0.52,0,3.84,1.74,4.78,5.45
2025-10-16 09:25:00,0,2.92,0.4,0,5.84,0.29,5.34,5.01
2025-10-16 09:26:00,0.07,3.43,0.93,0,5.74,0,5.71,5.73
2025-10-16 09:27:00,0,5.81,0.67,1.83,4.44,0.77,2.36,5.5
2025-10-16 09:28:00,0,3.04,3.34,4.7,6,1.14,2.06,5.57
2025-10-16 09:29:00,0.05,3.18,2.2,4.83,1.06,1.17,3.16,3.8
2025-10-16 09:30:00,0,0.66,3.55,2.81,2.42,1.61,4.89,5.6
2025-10-16 09:31:00,0.22,2.62,5.52,0.44,2.35,0.39,5.7,5.69
2025-10-16 09:32:00,0.74,2.72,4.54,0,4.16,0,5.58,4.35
2025-10-16 09:33:00,0.31,2.12,4.65,1.1,2.01,0,2.53,5.32
2025-10-16 09:34:00,0.13,0.11,0.11,0.03,0.25,0,3.01,6
2025-10-16 09:35:00,0,0,0.13,0.23,0.39,0,5.42,4.77
2025-10-16 09:36:00,0.32,0,2.36,0.05,1.53,2.83,5.88,5.11
2025-10-16 09:37:00,0,0.23,4.12,0.5,0.32,3.48,6,5.71
2025-10-16 09:38:00,0.1,0,0,1.26,0,3.07,6,6
2025-10-16 09:39:00,0.18,0,0,1.68,0,5.73,4.26,6
2025-10-16 09:40:00,0,0.41,0.14,0,0,5.46,4.91,5.78
2025-10-16 09:41:00,0,0,0.06,0,0.48,6,5.96,3.93
2025-10-16 09:42:00,0.36,0,0.23,0.17,0.43,5.96,4.57,6
2025-10-16 09:43:00,0,0,0.12,0,0,6,4.3,5.95
2025-10-16 09:44:00,0,0,0,0.37,0,6,4.82,5.77
2025-10-16 09:45:00,0,0.41,0,0,0,6,4.79,5.05
2025-10-16 09:46:00,0.23,0,0,1.3,0,5.88,4.51,4.78
2025-10-16 09:47:00,0,0,0.13,3.16,0,4.69,5.4,5.09
2025-10-16 09:48:00,0,0.14,0,0.63,0,5.88,2.67,5.72
2025-10-16 09:49:00,0.1,0.57,0,0.09,0.48,6,5.77,5.5
2025-10-16 09:50:00,0,0,0.02,0,0,6,5.53,5.8
2025-10-16 09:51:00,0,0,0,0,1.36,6,5.94,4.58
2025-10-16 09:52:00,0,0,0.29,0,0,6,5.51,5.94
2025-10-16 09:53:00,0,0.28,0.12,0.1,0,6,5.65,6
2025-10-16 09:54:00,0,0.66,0.09,0.15,0.16,5.34,4.9,6
2025-10-16 09:55:00,0.07,0,0,0,0.06,4.22,5.41,5.52
2025-10-16 09:56:00,2.68,0,0.5,0,0.58,4.88,4.81,6
2025-10-16 09:57:00,1.43,0,0,1.29,0.22,3.27,1.51,5.98
2025-10-16 09:58:00,1.29,0.55,0.23,0.22,0,3.4,3.25,6
2025-10-16 09:59:00,1.07,0.39,0,5.63,0,0.49,5.11,6
2025-10-16 10:00:00,1.37,0.29,0.07,4.67,0,0,4.66,6
2025-10-16 10:01:00,1.52,0.12,0,5.12,0,0.67,5.98,5.9
2025-10-16 10:02:00,3.92,1,0.14,4.09,0.46,0,4.27,5.57
2025-10-16 10:03:00,2.28,0,0,2.18,0,0,5.81,5.41
2025-10-16 10:04:00,1.38,0,0,0.66,0.08,0.07,5.86,4.14
2025-10-16 10:05:00,0.68,0,0.19,0,0,4.22,5.32,5.07
2025-10-16 10:06:00,1.15,0,0.23,0.06,0,2.9,5.93,5.27
2025-10-16 10:07:00,0.85,0.49,0.34,0.12,0.25,3.41,6,5.05
2025-10-16 10:08:00,0,0.17,0,0,0.48,5.53,6,4.97
2025-10-16 10:09:00,0,0,0,0.23,0.25,2.31,6,1.6
2025-10-16 10:10:00,0.51,0,0.29,0,0.37,0,5.98,1.31
2025-10-16 10:11:00,0,0.12,0,0,0.43,0,6,5.96
2025-10-16 10:12:00,0.16,0,0,0.13,0,0,4.61,6
2025-10-16 10:13:00,0.17,0,0,0,0.3,0,4.05,5.98
2025-10-16 10:14:00,0,2.26,0,0,0.17,0.6,3.66,3.65
2025-10-16 10:15:00,0.14,3.09,0,0.08,0.36,0.45,5.66,6
2025-10-16 10:16:00,0.38,1.94,1.02,0.46,0,0.57,5.49,4.76
2025-10-16 10:17:00,0.02,2.98,3.7,0.45,0.29,0,4.38,4.9
2025-10-16 10:18:00,0.08,4.96,0.26,0,0.13,0,4.77,4.67
2025-10-16 10:19:00,0,5.8,0.59,0,1.7,0,5.39,3.05
2025-10-16 10:20:00,0,5.51,0,0.13,4.98,0.11,1.66,0.06
2025-10-16 10:21:00,0,4.61,0.05,0.09,3.87,0.1,6,0.77
2025-10-16 10:22:00,0.3,4.06,5.35,0.24,2.62,0,5.66,2.32
2025-10-16 10:23:00,0,3.63,3.77,0,3.24,0,4.6,4.75
2025-10-16 10:24:00,0.29,3.25,0,0.27,3.45,0.2,5.42,3.44
2025-10-16 10:25:00,0,2.48,0,0,0.03,0.58,5.07,4.59
2025-10-16 10:26:00,0,2.7,0,1.67,0,0.44,2.1,4.47
2025-10-16 10:27:00,0.17,1.36,0.05,1.04,0.31,0,0.89,5.57
2025-10-16 10:28:00,0,3.2,1,0.31,0.03,0,2.98,5.97
2025-10-16 10:29:00,0.27,3.81,1.08,0,0,0,5.78,4.96
2025-10-16 10:30:00,0,4.51,0.61,0,0.13,2.98,5.95,4.29
2025-10-16 10:31:00,0.46,2.57,0,0.39,1.34,2.93,5.96,3.65
2025-10-16 10:32:00,0,2.18,0.28,0.36,0,4.22,5.95,0.1
2025-10-16 10:33:00,0,1.64,0,0.33,0.29,0.2,6,0
2025-10-16 10:34:00,0.16,0,0.24,1.21,0,0,5.97,2.81
2025-10-16 10:35:00,0.1,0.83,1.89,0,0,0,5.72,1.21
2025-10-16 10:36:00,0,0.1,2,0,1.11,0,5.35,0.17
2025-10-16 10:37:00,0.05,0,1.02,0.08,0.35,0,5.94,0.82
2025-10-16 10:38:00,0.06,0,4.44,0,0.6,0.35,5.94,0.26
2025-10-16 10:39:00,0.57,0.2,5.67,0,0,0.42,5.9,0.68
2025-10-16 10:40:00,0,0.71,0.94,0,0,0.36,5.59,0
2025-10-16 10:41:00,0.08,0,0.08,0,0,0,2.59,0
2025-10-16 10:42:00,0,0,1.94,0.89,0.5,1.08,5.16,0
2025-10-16 10:43:00,0.04,0,3.48,0.5,0.59,0.56,4.61,0.2
2025-10-16 10:44:00,0,0,3.11,0.26,0,0,5.57,0
2025-10-16 10:45:00,0.12,1,1.81,0,1.96,0,3.04,0
2025-10-16 10:46:00,0,0,3.13,0,1.15,0.76,4.09,0.79
2025-10-16 10:47:00,0,0.62,0.46,0.84,4.74,0.37,5.18,0.24
2025-10-16 10:48:00,0.58,0.19,0.18,0.2,2.78,0.77,2.36,0
2025-10-16 10:49:00,3.95,0,0.09,1.58,4.42,0,1.72,0
2025-10-16 10:50:00,1.37,0,0.28,1.84,5.3,0.12,3.14,0
2025-10-16 10:51:00,1.64,0.02,0,0,3,2.25,4.68,0.12
2025-10-16 10:52:00,0.38,0.31,0.36,0,1.21,1.01,3.54,0.28
2025-10-16 10:53:00,3.5,0.41,0.74,0.7,0.23,1.12,2.69,0
2025-10-16 10:54:00,3.07,0.08,0.21,0,0,2.7,3.53,0
2025-10-16 10:55:00,1.62,0.72,0.03,0.38,0,0.46,1.68,0
2025-10-16 10:56:00,2.1,0.19,0,0,0,1.11,3.47,0.91
2025-10-16 10:57:00,0.26,0.3,0,0,0,0.23,0.21,0.11
2025-10-16 10:58:00,0.22,1.63,0,0.14,0.09,0.1,0.23,0.05
2025-10-16 10:59:00,0.93,0.17,0.13,2.26,2.42,0.05,1.88,0.08
2025-10-16 11:00:00,2.1,2.37,0.39,0,2.1,0.48,0.38,0
2025-10-16 11:01:00,1.15,0,0,0.94,1.72,0,0,0.29
2025-10-16 11:02:00,1.6,0.05,0,1.03,1.47,0.67,0,0.29
2025-10-16 11:03:00,2.2,0.11,0.2,5.2,0.77,0,0,0
2025-10-16 11:04:00,2.68,0.41,0,3.15,3.79,0,0.46,0.13
2025-10-16 11:05:00,0.47,0.15,0.08,3.38,4.46,1.31,0,0
2025-10-16 11:06:00,0.05,0.58,0.18,1.17,4.6,1.77,0,0
2025-10-16 11:07:00,0.31,1.53,0,2.51,3.58,1.56,0.04,0.81
2025-10-16 11:08:00,0.11,0.77,0,2.03,4.51,4.65,0,0.54
2025-10-16 11:09:00,0.12,0,0,4.96,1.78,3.98,0,0
2025-10-16 11:10:00,0.17,0,0.32,5.02,2.96,3.03,0.24,0.36
2025-10-16 11:11:00,0.05,0.2,0,1.81,2.91,4.02,0.56,0.07
2025-10-16 11:12:00,0,0.18,0,0,4.63,1.25,0.19,0.04
2025-10-16 11:13:00,0,0,0,0,0.67,0,0.08,0.4
2025-10-16 11:14:00,0,1.12,0,0,3.34,0,0,0
2025-10-16 11:15:00,0.25,1.51,0.08,0,5.72,0,1.38,0
2025-10-16 11:16:00,0,0,1,1.03,5.43,0.46,0.07,0
2025-10-16 11:17:00,0,2.55,3.24,4.02,5,0,0,0
2025-10-16 11:18:00,0,0.93,3.77,3.7,4.36,2.84,0.04,0.5
2025-10-16 11:19:00,0.09,0.18,2.7,3.35,3.68,2.58,0,1.77
2025-10-16 11:20:00,0.47,2.37,1.71,3.37,5.95,2.98,0,0.19
2025-10-16 11:21:00,0.3,5.21,0,1.31,6,3.18,0.1,0.26
2025-10-16 11:22:00,0.12,0.86,0,0.61,6,4.64,0,0
2025-10-16 11:23:00,0,0.27,0.47,0,6,4.68,0,0
2025-10-16 11:24:00,0.07,0.28,0.11,0,6,5.05,0,0.21
2025-10-16 11:25:00,2.29,0.92,0,0,6,5.05,0,0
2025-10-16 11:26:00,0.95,0,0,0.43,6,3.99,1.52,0
2025-10-16 11:27:00,1.1,0,0,0,3.5,4.05,1.18,0
