Time Stamp:,Linear Time:,F1,M1,M2,M6,F5,M7,F3,F6
2025-10-16 08:00:00,32,97.67,69.39,72.72,91.94,89.33,98.83,97.28,93.28
2025-10-16 09:00:00,33,31.83,30.06,21.11,23.56,55.5,53.56,98.67,98.22
2025-10-16 10:00:00,34,26.28,37.06,26.5,15.17,24.94,22.22,93.83,52.94
2025-10-16 11:00:00,35,22.89,28.06,16.61,25.83,68.44,59.67,18.56,31.67
2025-10-16 12:00:00,36,36.39,37.44,58.61,21.33,13.5,15.28,51.72,12.44
2025-10-16 13:00:00,37,43.11,42,39.06,55.44,26.33,20.39,47.67,40.5
2025-10-16 14:00:00,38,44.5,17.44,38.39,37.06,11.33,19,17.44,24.78
2025-10-16 15:00:00,39,47.17,12.11,23.61,24.78,77.17,27.56,66.89,10.11
2025-10-16 16:00:00,40,18.5,47.44,23.11,21.17,11.5,20.83,28.11,85.06
2025-10-16 17:00:00,41,45.5,10.83,17.78,48.5,28.78,14.22,30.28,23.44
2025-10-16 18:00:00,42,30.72,28.28,41.33,53.22,47.89,52.17,58.06,38.72
2025-10-16 19:00:00,43,34.56,53,32.78,46.5,31.83,31.61,19.94,47.89
2025-10-16 20:00:00,44,92.83,87.33,79.39,97.17,97.17,82.89,95.39,96.39
2025-10-16 21:00:00,45,92.5,96.06,98.39,98.61,98.67,99.61,94.67,99
2025-10-16 22:00:00,46,93.78,86.67,98.39,56.17,97,94.89,96.83,97.44
2025-10-16 23:00:00,47,96.44,34.94,79.78,63.56,97.83,77.5,97.5,100
2025-10-17 00:00:00,48,94.39,84.06,71.61,88.5,96.17,46.5,98.61,99.28
2025-10-17 01:00:00,49,25.28,96.83,99.06,75.5,98.17,87,99.22,83.33
2025-10-17 02:00:00,50,48.11,95,86.83,80.06,47.33,87.22,30.67,22.56
2025-10-17 03:00:00,51,96.11,46,55.89,65.33,10.17,28.56,22.28,97.72
2025-10-17 04:00:00,52,96.44,62.44,83.67,73.56,82.33,99.11,84.22,42.94
2025-10-17 05:00:00,53,90.89,92.78,97.17,78.17,97.61,99.17,95.39,95.83
2025-10-17 06:00:00,54,84.72,38.22,97.72,91.11,92.83,99.11,95.39,93.39
2025-10-17 07:00:00,55,29.67,94.56,73.11,99.5,18.94,35.83,97.33,36.61
2025-10-17 08:00:00,56,82.28,74,52.89,61.33,93.22,84.22,96.61,95.5
2025-10-17 09:00:00,57,47.39,21.28,9.17,27.11,47.22,16.44,43.22,12.22
2025-10-17 10:00:00,58,70.44,53.22,71.17,10.22,48.28,35.56,33.44,27.94
2025-10-17 11:00:00,59,50.22,9.11,19.33,23.33,57.72,12.06,86.5,22.11
2025-10-17 12:00:00,60,31.17,59.78,27.61,13.17,31.5,24.33,34.11,23.72
2025-10-17 13:00:00,61,70.67,23.33,31.78,30.39,35,18.72,33.5,9.72
2025-10-17 14:00:00,62,38.56,11.78,8,15.44,84.94,42.61,47.61,66
2025-10-17 15:00:00,63,41.56,61.5,17.56,10.5,13.11,10.94,33.83,10.72
2025-10-17 16:00:00,64,25.78,20.72,27.33,14.56,38.33,17.33,50,38.83
2025-10-17 17:00:00,65,68.56,48.94,25.28,53.94,50.33,25.83,12.5,9.06
2025-10-17 18:00:00,66,14.33,23.33,16.78,7.61,21.72,68.28,12.61,43
2025-10-17 19:00:00,67,45.61,51.56,51.94,31.56,50.44,26.17,58.33,27.83
2025-10-17 20:00:00,68,70.67,65.83,81.78,88.83,96.83,96.39,79.72,96.67
2025-10-17 21:00:00,69,90.83,93.11,62.39,30.61,98.83,98.39,93.67,96.89
2025-10-17 22:00:00,70,69.17,57.5,41.72,81.78,88.5,85,98.72,97.67
2025-10-17 23:00:00,71,93.28,93.5,92.67,47.44,29.78,87.11,97.33,99.28
2025-10-18 00:00:00,72,96.22,48.5,97.17,86.33,91.94,57,97.39,96.61
2025-10-18 01:00:00,73,97.44,81.22,87.39,97.39,91.56,40.72,97.83,98.22
2025-10-18 02:00:00,74,91.11,96.06,23.22,18.56,90.61,97.39,97,99.22
2025-10-18 03:00:00,75,79.67,60.17,71,52.61,57.33,73.83,29.89,90.67
2025-10-18 04:00:00,76,35.5,57.28,33.5,38.94,15.89,37.67,14.28,65.83
2025-10-18 05:00:00,77,51.5,66.17,81.5,96.39,53.72,53.22,90.28,70.44
2025-10-18 06:00:00,78,93.39,80.83,96.72,80.61,95.5,98.33,97.72,50.11
2025-10-18 07:00:00,79,96.67,87.28,96.94,98.33,94.67,97.78,96.11,32.89
