Time Stamp:,Linear Time:,F1,M1,M2,M6,F5,M7,F3,F6
2025-10-16 08:00:00,32,0.61,26.94,24.94,4.78,4.17,0.33,0.5,3.78
2025-10-16 09:00:00,33,57.5,62.33,71.5,69.5,38.72,42.39,0.89,1.17
2025-10-16 10:00:00,34,61.06,54.11,64.39,79.06,72.11,75.72,4.72,40.89
2025-10-16 11:00:00,35,69.94,62.22,76.28,64.5,24.61,35.17,76.17,60.56
2025-10-16 12:00:00,36,52.67,56.89,37.83,74.94,77.83,80.11,41.44,80.11
2025-10-16 13:00:00,37,49.94,51.39,58.67,40.44,63.33,73.67,47.39,54.5
2025-10-16 14:00:00,38,50.06,72.06,56.11,58.72,78.89,74.44,77,68
2025-10-16 15:00:00,39,44.67,76,67.06,70,15.94,67,27.72,82.06
2025-10-16 16:00:00,40,69.39,37.44,70.39,73.28,84.61,73.06,64.33,11.89
2025-10-16 17:00:00,41,46.28,81.5,70.89,48.11,64,79.17,62.89,72.89
2025-10-16 18:00:00,42,57.11,64.78,50.39,44.22,43.89,40.89,34.67,53.78
2025-10-16 19:00:00,43,53.06,38.5,58.61,49.39,62.44,61.17,69.83,42.89
2025-10-16 20:00:00,44,3.33,9.44,16.17,2.17,1.78,13.78,1.78,2.39
2025-10-16 21:00:00,45,3.17,1.56,0.33,1,0.33,0.17,1.72,0.56
2025-10-16 22:00:00,46,2.17,9.56,0.39,38.89,0.72,4.17,0.89,2
2025-10-16 23:00:00,47,1.17,53.89,18.72,31.33,1.33,21.39,1.44,0
2025-10-17 00:00:00,48,2.06,9.61,26.22,8.22,1,46.67,0.56,0.28
2025-10-17 01:00:00,49,64.22,1,0.5,21.17,0.33,10.61,0.28,16.06
2025-10-17 02:00:00,50,45.39,1.5,8.33,17.06,45.56,12.22,65.06,75.61
2025-10-17 03:00:00,51,0.89,47.11,41.89,30.89,80.56,65.78,72.72,1.5
2025-10-17 04:00:00,52,0.56,26.72,12.78,16.17,11.67,0.33,8.61,55.89
2025-10-17 05:00:00,53,3.22,2.83,1.61,19.28,0.5,0.11,1.72,3.89
2025-10-17 06:00:00,54,12.56,53.06,0.94,5.39,5.78,0,1.5,3.06
2025-10-17 07:00:00,55,66,2.83,23.06,0.39,77.33,60.94,0.78,57.17
2025-10-17 08:00:00,56,16.11,24.28,43.39,32.61,4.61,13.89,2.06,3.28
2025-10-17 09:00:00,57,45.39,70.83,80.28,63.22,45.56,78.72,54.67,78
2025-10-17 10:00:00,58,27.22,41.78,24.89,80.28,44.22,60.33,62,65.61
2025-10-17 11:00:00,59,45.94,84.33,75.67,70.89,35.06,80.17,9.67,70.5
2025-10-17 12:00:00,60,61,36.33,65.78,76.67,64.11,69.78,60.39,70.56
2025-10-17 13:00:00,61,22.72,67.33,60.06,57.17,58.17,73.78,57.28,84.5
2025-10-17 14:00:00,62,57.06,80.22,83.78,77.5,11.17,50.72,44.89,25.56
2025-10-17 15:00:00,63,53.83,32.22,76.44,82.61,79.39,80.61,58.78,83.11
2025-10-17 16:00:00,64,64,72.89,68.44,80.11,55.83,71,40.22,54
2025-10-17 17:00:00,65,24.33,47.78,71.61,35.78,45.22,67.67,76.17,83.22
2025-10-17 18:00:00,66,75.72,67.72,75.61,83.94,71.5,26.22,73.44,46.67
2025-10-17 19:00:00,67,43.06,42.83,42.83,60.28,40.5,67.89,35.33,61.94
2025-10-17 20:00:00,68,22.06,31.5,14.22,6.83,1.56,1.11,15.94,1.67
2025-10-17 21:00:00,69,4.28,3.11,32.78,64,0.44,0.56,2.67,1.22
2025-10-17 22:00:00,70,26.67,35.17,52.44,14.67,7.78,14.06,0.33,1.78
2025-10-17 23:00:00,71,4.11,2.33,4.56,45.44,59.56,11.67,1,0.61
2025-10-18 00:00:00,72,1.06,45.56,1.44,7.94,3,40.39,0.78,1.94
2025-10-18 01:00:00,73,0.56,11.5,11.17,1.17,4.83,50.67,0.5,0.78
2025-10-18 02:00:00,74,1.89,1.78,68.67,74.44,4.17,1.17,0.89,0.61
2025-10-18 03:00:00,75,17,31.06,25.5,37.61,38.61,24.67,63.22,4.33
2025-10-18 04:00:00,76,55.56,34.94,58.28,46.06,76.06,55.78,70.67,25.22
2025-10-18 05:00:00,77,38.06,26.17,16.22,1.28,40.83,36.83,4.28,24.61
2025-10-18 06:00:00,78,2.44,15.44,1.61,17,1.72,0.78,0.94,31
2025-10-18 07:00:00,79,2.5,10.56,1.72,1.28,2.83,0.44,1.78,52.28
