Time Stamp:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-16 08:00:00,32,19.5,25.94,2.39,21.44,22.06,47.67,61.72,48.61
2025-10-16 09:00:00,33,61.83,52.89,45.28,60.61,79.39,69.56,61.5,70.67
2025-10-16 10:00:00,34,50.39,53.78,67.39,72.56,43.44,49.89,75.17,72.56
2025-10-16 11:00:00,35,48.61,51.44,19.94,56.28,74,43.83,28.5,70.39
2025-10-16 12:00:00,36,74.11,71.83,80.94,55,59.83,59.44,67.5,31.67
2025-10-16 13:00:00,37,48.78,75.61,63.5,7.28,55.11,76.11,75.11,68.83
2025-10-16 14:00:00,38,64.33,25.56,65.17,66.83,39.83,55.61,66.28,74.94
2025-10-16 15:00:00,39,67.61,74.78,58.83,73.61,51.89,63.44,59.83,54.67
2025-10-16 16:00:00,40,70.61,70.44,64,54.83,68.39,53.56,40.11,56.83
2025-10-16 17:00:00,41,59.78,73.17,26.61,56.33,42.72,68.11,63,71.06
2025-10-16 18:00:00,42,22.61,34.5,78.67,55.11,58.11,45.89,75.61,55.22
2025-10-16 19:00:00,43,71.5,56.78,17.5,23.83,26.83,36.17,45.11,48.22
2025-10-16 20:00:00,44,17.33,0.94,15.78,0.17,5.22,0,1.33,2.11
2025-10-16 21:00:00,45,35.56,0.5,1.56,0.56,1.94,0.44,0.56,10.17
2025-10-16 22:00:00,46,26.17,51.94,55.78,0,1.61,0,2,41.67
2025-10-16 23:00:00,47,38.39,34,22.72,0.11,45.11,25,1.5,0.39
2025-10-17 00:00:00,48,30.11,21.56,1.11,22.94,42.61,70.83,39.39,33.83
2025-10-17 01:00:00,49,19.89,54.22,0.56,69.11,20.5,37.56,3.78,7.67
2025-10-17 02:00:00,50,35.56,22.94,21.39,69.89,45.72,0.83,2.78,36.11
2025-10-17 03:00:00,51,32.28,0.06,78.89,0.94,38.94,73.78,62.94,26.44
2025-10-17 04:00:00,52,15.83,48.44,72.28,23.5,1.17,52.94,69.39,2.61
2025-10-17 05:00:00,53,15.56,15.11,15.94,54.83,2.61,0.22,26.56,0.22
2025-10-17 06:00:00,54,7.83,19.17,0.72,0.56,60.5,2.11,14.61,49.11
2025-10-17 07:00:00,55,39.72,0.61,0.33,47.39,24.72,0.17,69.17,11.72
2025-10-17 08:00:00,56,1.44,19.11,1.67,7.56,25.39,31.89,3.33,21.72
2025-10-17 09:00:00,57,46.28,62.44,43.39,61.11,81.22,65.22,46.72,44.83
2025-10-17 10:00:00,58,76.44,71.39,70,8.61,54.89,34,61.78,66.06
2025-10-17 11:00:00,59,72.39,48.67,60.11,77.56,81.11,65.72,49.83,77.56
2025-10-17 12:00:00,60,43.5,68.11,11.56,71.78,68.72,73.5,69.78,43.78
2025-10-17 13:00:00,61,78.56,0.61,74.28,50.33,51.83,52.5,22.17,41.78
2025-10-17 14:00:00,62,15.94,66.22,61.22,80.67,76.28,85,74.17,79.89
2025-10-17 15:00:00,63,58.39,82.06,77.67,64.78,81.56,69.28,44.94,61.89
2025-10-17 16:00:00,64,67.83,60.56,54.61,67.06,77.72,13.39,67.06,69.44
2025-10-17 17:00:00,65,50.61,57.11,54.5,35.33,47.28,74.83,63.67,59.61
2025-10-17 18:00:00,66,64.28,65.06,41.22,79.44,60.39,58.61,56.56,53.56
2025-10-17 19:00:00,67,31.39,42.94,55.61,42.89,51.78,40.78,46.94,38.72
2025-10-17 20:00:00,68,13.67,7.67,25.17,0.44,3.22,0,2.17,12.17
2025-10-17 21:00:00,69,27.44,0.67,1,1.22,16.56,0.22,2.94,16.61
2025-10-17 22:00:00,70,27.56,30.17,1.17,0.22,38.11,0,1.06,13.56
2025-10-17 23:00:00,71,22.56,23.44,17.78,6.33,3.56,0.78,0.5,17.67
2025-10-18 00:00:00,72,12.17,30.83,65,53.44,39.06,45.72,3.56,29.28
2025-10-18 01:00:00,73,41.61,14,7.94,23.5,2.22,68.72,4.11,13.33
2025-10-18 02:00:00,74,5.39,1.11,1.67,31.67,51.83,2.89,38.78,12.56
2025-10-18 03:00:00,75,31.39,46.56,35.61,48.56,60.39,62.44,67.06,38.56
2025-10-18 04:00:00,76,14.17,20.11,81.28,61.83,13,45,23.06,29.22
2025-10-18 05:00:00,77,19.61,7.83,47.17,0.5,1.39,1.5,3.94,1.67
2025-10-18 06:00:00,78,29.94,16.17,0.89,0.67,1.78,0.67,32.06,16
2025-10-18 07:00:00,79,33.33,33.17,2.33,6.33,2.5,45.72,78.5,51.89
