Treatment,Replicate 1,Replicate 2,Replicate 3,Replicate 4,Mean,Type
OxA,1.035194406,0.851778755,0.952503081,1.160523758,1,ctrl+
DMSO,0.004355102,0.001774301,0.005000302,0.004677702,0.003951852,ctrl-
8887,0.004236357,0.003077353,0.002997422,0.00319725,0.003377096,1
2259,0.008033092,0.007073916,0.005555223,0.00923206,0.007473573,1
1328,0.009192095,0.006394501,0.005994844,0.011550067,0.008282877,1
7537,0.008792439,0.011230342,0.023859481,0.005155566,0.012259457,1
0816,0.002757628,0.003157285,0.000919209,0.001039106,0.001968307,1
3361,0.006874088,0.011350239,0.00887237,0.007673401,0.008692524,1
3267,0.005275463,0.005435326,0.001718522,0.002118178,0.003636872,1
1673,0.007513538,0.004356254,0.004835841,0.001518694,0.004556082,1
4777,0.000319725,0.000479588,0.000799313,0.000839278,0.000609476,1
9303,0.016146114,0.003916632,0.011629998,0.01206962,0.010940591,1
4867,0.00347701,0.001798453,0.001198969,0.001238935,0.001928342,1
6115,0.003996563,0.002997422,0.002397938,0.007113882,0.004126451,1
4061,0.005675119,0.002757628,0.005115601,0.001318866,0.003716804,1
3798,0.000799313,0.000719381,0.000879244,0.0025578,0.001238935,1
8242,0.001478728,0.002318007,0.0012789,0.001358831,0.001608617,1
6410,0.005914913,0.003117319,0.001598625,0.005075635,0.003926623,1
7124,0.013108727,0.004675979,0.004356254,0.005075635,0.006804148,1
0616,0.022700478,0.0038367,0.003876666,0.005715085,0.009032232,1
8796,0.003277182,0.001598625,0.001518694,0.002318007,0.002178127,1
4483,0.0012789,0.000959175,0.000999141,0.003157285,0.001598625,1
3833,0.001998281,0.001478728,0.002957457,0.00475591,0.002797594,1
3580,0.006314569,0.00411646,0.004516116,0.002757628,0.004426193,1
1098,0.000399656,0.000879244,0.00063945,0.000759347,0.000669424,1
9098,0.020382471,0.026377316,0.001518694,0.031612813,0.019972823,1
6130,0.043922227,0.014667386,0.010910617,0.004396219,0.018474112,1
9142,0.010950583,0.010710789,0.016425874,0.002158144,0.010061347,1
5262,0.000279759,0.000159863,0.000279759,0.000159863,0.000219811,1
8768,0.000919209,0.000519553,0.001398797,0.004995704,0.001958316,1
2285,0.001039106,0.001318866,0.001159003,0.000199828,0.000929201,1
8035,0.003317147,0.001598625,0.001398797,0.0038367,0.002537817,1
