,Replicate 1,Replicate 2,Replicate 3,Replicate 4
OxA,3189600,1961000,1870240,1317880
DMSO,46520,16800,27320,6080
d64,9800,13640,4560,4480
d65,16280,5240,4960,3720
d66,10120,5120,4800,5040
d67,12880,36440,4760,5000
d68,66720,44920,35960,30600
d69,17040,8480,14720,4120
d70,7320,4920,5040,4000
d71,11440,11120,5520,6240
d72,1680,3040,1480,2160
d73,6800,9440,2640,1160
d74,15080,18800,9200,10080
d75,13160,11320,4480,5760
d77,6280,5800,10440,840
d78,4360,3960,1400,2160
d79,4120,5720,2560,4840
d80,5200,6120,3360,1680
d81,17920,43120,6000,4440
d82,68720,57920,4640,4880
d83,13680,5440,2560,2120
d84,3680,3240,3520,1600
d85,3520,4680,4680,3040
d86,1840,2680,2280,6120
TAK-861,374320,1802120,3300600,3008800
