	dmso	drug
0	115.60655737704919	107.60655737704919
1	81.09836065573771	100.37704918032787
2	186.85245901639345	26.475409836065573
3	86.77049180327869	69.54098360655738
4	152.95081967213116	75.81967213114754
5	111.08196721311475	180.39344262295083
6	130.59016393442624	110.1311475409836
7	513.655737704918	191.19672131147541
8	390.2950819672131	216.9672131147541
9	320.0327868852459	510.95081967213116
10	564.3770491803278	192.21311475409837
11	270.5409836065574	542.1311475409836
12	178.9344262295082	466.8524590163934
13	976.4754098360655	199.2295081967213
14	581.1147540983607	209.81967213114754
15	821.2622950819672	530.4426229508197
16	203.62295081967213	384.57377049180326
17	419.42622950819674	330.39344262295083
18	388.9016393442623	268.327868852459
19	312.11475409836066	469.344262295082
20	800.5901639344262	364.42622950819674
21	387.3114754098361	372.8196721311475
22	331.5081967213115	548.0655737704918
23	202.88524590163934	376.04918032786884
24		311.78688524590166
25		182.8360655737705
26		499.344262295082
27		156.86885245901638
28		516.1639344262295
29		452.655737704918
