	dmso-mut	drug-mut
0	176.97374200895842	175.73953519624607
1	204.38262332748877	181.16908565456205
2	308.73692493890036	192.42829732185604
3	244.6493278742678	215.3744811112164
4	245.66772162936988	208.41331998383848
5	273.38487902677844	220.28684612895873
6	259.84039394071135	216.17538911175404
7	244.92956701023894	242.165838754114
8	226.90875513172548	226.27119295626994
9	270.0605116234134	217.57089871416377
10	272.7571423458606	215.71824313345138
11	427.6386915186012	187.46251535389044
12	254.30250674801405	256.3867367663188
13	221.2005138798057	215.9986435364906
14	291.215392584918	213.85455608150514
15	209.8494567949439	230.89228064968134
16	378.64052777321905	239.1758298882557
17	197.38608639916342	224.50976680809532
18	220.8705833660511	235.90146918474747
19	172.654758432751	266.63280348134197
20	269.18090349093376	
21	197.6129575345887	
