	dmso-wt	dmso-mut
0	220441.4182218649	12652.635876196717
1	265024.65515063034	273467.6835703587
2	13071.99047892803	185384.91917509827
3	11134.347929129788	190005.75125186399
4	7172.280683466135	61476.11819586968
5	18753.813780149994	25643.817743987296
6	29775.922114721445	15854.577117581175
7	13829.793412382776	168516.89385407747
8	24997.133141242608	18662.79437720811
9	138932.4849555642	10134.086717306523
10	30607.327966716162	6070.841578767102
11	6956.429426817265	
12	69635.24883863816	
13	23095.79966120972	
