	dmso-wt	dmso-mut
0	132.94533887115043	206.22426025652814
1	169.26466651046795	206.3131108560968
2	162.59723391282688	153.23912571973244
3	190.050663785826	180.80159054631804
4	196.19823022622944	251.73758237594103
5	265.04901104550515	177.2882616758729
6	228.97053075383184	194.51462491285207
7	289.28710157664415	231.5113348348725
8	203.01880586174556	219.3590649140429
9	193.01174898708047	185.70068465708744
10	243.5453344301718	157.4929380231808
11	188.5042178591932	
12	164.9651545943948	
13	194.36332718244407	
