	dmso-wt	dmso-mut
0	0.613999149462901	0.42457513477369613
1	0.7112637486451198	0.5296901975761312
2	0.40971180524744893	0.5308495887843926
3	0.3757174198546748	0.47048316733115497
4	0.47399822100979033	0.7489502520799911
5	0.5328109085246846	0.5652666732589491
6	0.4900510707493543	0.549723343052311
7	0.6705269307059443	0.5720221459380439
8	0.38072675651747345	0.5645404394530833
9	0.4129219717471124	0.38039329330202165
10	0.49944162981389273	0.4103840797062502
11	0.5499745110228929	
12	0.3829240380294222	
13	0.5957358147575917	
