	dmso-wt	dmso-mut
0	174.21876750580716	220.4010590127482
1	182.56005848825546	211.12347103144606
2	179.25365157375512	181.3130732277359
3	202.59889019648733	199.93875591924066
4	196.00437868587028	206.54768381423858
5	212.20677521642665	190.16845026561913
6	180.00536438372114	183.22553027909726
7	218.0871331677107	208.16569341723238
8	165.81491004070347	201.95060554342325
9	171.4237913273041	177.20164363217603
10	238.30043530989798	176.66896043156274
11	176.4479301614474	
12	202.28848285373005	
13	194.9188326378503	
