	dmso-het	drug-het
0	1.2730326945036814	1.205391048926981
1	1.355248770461156	1.1402371654660128
2	1.6618261674150094	1.2431334568513621
3	1.3376447612820963	1.3377981567795583
4	1.4170028256106606	1.5218150974038167
5	1.4804078193301213	1.303456382877765
6	1.275716992065586	1.344421731351576
7	1.4191050843048185	1.4718737896878529
8	1.449803954978987	1.5181301442637491
9	1.425712751142978	1.2769282841227283
10	1.4673548902791682	1.4591880221887032
11	1.9889668588510303	1.5609331292696156
12	1.6217668144877837	1.6299799878979704
13		1.616566397161621
14		1.4167051043917456
15		1.3414326241126486
