an_artificial/ligand_inputs/paper_ligands,an_artificial/output_data/paper_ligands
an_artificial/ligand_inputs/condensed_params_and_db_0/0,an_artificial/output_data/condensed_params_and_db_0/0
an_artificial/ligand_inputs/condensed_params_and_db_0/1,an_artificial/output_data/condensed_params_and_db_0/1
an_artificial/ligand_inputs/condensed_params_and_db_0/2,an_artificial/output_data/condensed_params_and_db_0/2
an_artificial/ligand_inputs/condensed_params_and_db_0/3,an_artificial/output_data/condensed_params_and_db_0/3
an_artificial/ligand_inputs/condensed_params_and_db_0/4,an_artificial/output_data/condensed_params_and_db_0/4
an_artificial/ligand_inputs/condensed_params_and_db_0/5,an_artificial/output_data/condensed_params_and_db_0/5
an_artificial/ligand_inputs/condensed_params_and_db_0/6,an_artificial/output_data/condensed_params_and_db_0/6
an_artificial/ligand_inputs/condensed_params_and_db_0/7,an_artificial/output_data/condensed_params_and_db_0/7
an_artificial/ligand_inputs/condensed_params_and_db_0/8,an_artificial/output_data/condensed_params_and_db_0/8
an_artificial/ligand_inputs/condensed_params_and_db_0/9,an_artificial/output_data/condensed_params_and_db_0/9
an_artificial/ligand_inputs/condensed_params_and_db_0/10,an_artificial/output_data/condensed_params_and_db_0/10
an_artificial/ligand_inputs/condensed_params_and_db_0/11,an_artificial/output_data/condensed_params_and_db_0/11
an_artificial/ligand_inputs/condensed_params_and_db_0/12,an_artificial/output_data/condensed_params_and_db_0/12
an_artificial/ligand_inputs/condensed_params_and_db_0/13,an_artificial/output_data/condensed_params_and_db_0/13
an_artificial/ligand_inputs/condensed_params_and_db_0/14,an_artificial/output_data/condensed_params_and_db_0/14
an_artificial/ligand_inputs/condensed_params_and_db_0/15,an_artificial/output_data/condensed_params_and_db_0/15
an_artificial/ligand_inputs/condensed_params_and_db_0/16,an_artificial/output_data/condensed_params_and_db_0/16
an_artificial/ligand_inputs/condensed_params_and_db_0/17,an_artificial/output_data/condensed_params_and_db_0/17
an_artificial/ligand_inputs/condensed_params_and_db_0/18,an_artificial/output_data/condensed_params_and_db_0/18
an_artificial/ligand_inputs/condensed_params_and_db_0/19,an_artificial/output_data/condensed_params_and_db_0/19
an_artificial/ligand_inputs/condensed_params_and_db_0/20,an_artificial/output_data/condensed_params_and_db_0/20
an_artificial/ligand_inputs/condensed_params_and_db_0/21,an_artificial/output_data/condensed_params_and_db_0/21
an_artificial/ligand_inputs/condensed_params_and_db_0/22,an_artificial/output_data/condensed_params_and_db_0/22
an_artificial/ligand_inputs/condensed_params_and_db_0/23,an_artificial/output_data/condensed_params_and_db_0/23
an_artificial/ligand_inputs/condensed_params_and_db_0/24,an_artificial/output_data/condensed_params_and_db_0/24
an_artificial/ligand_inputs/condensed_params_and_db_0/25,an_artificial/output_data/condensed_params_and_db_0/25
an_artificial/ligand_inputs/condensed_params_and_db_0/26,an_artificial/output_data/condensed_params_and_db_0/26
an_artificial/ligand_inputs/condensed_params_and_db_0/27,an_artificial/output_data/condensed_params_and_db_0/27
an_artificial/ligand_inputs/condensed_params_and_db_0/28,an_artificial/output_data/condensed_params_and_db_0/28
an_artificial/ligand_inputs/condensed_params_and_db_0/29,an_artificial/output_data/condensed_params_and_db_0/29
an_artificial/ligand_inputs/condensed_params_and_db_0/30,an_artificial/output_data/condensed_params_and_db_0/30
an_artificial/ligand_inputs/condensed_params_and_db_0/31,an_artificial/output_data/condensed_params_and_db_0/31
an_artificial/ligand_inputs/condensed_params_and_db_0/32,an_artificial/output_data/condensed_params_and_db_0/32
an_artificial/ligand_inputs/condensed_params_and_db_0/33,an_artificial/output_data/condensed_params_and_db_0/33
an_artificial/ligand_inputs/condensed_params_and_db_0/34,an_artificial/output_data/condensed_params_and_db_0/34
