	dmso-het	dmso-mut
0	174.10423964391242	192.0429272505585
1	230.90868428172234	168.9024941981954
2	164.59458270720896	186.70786682050272
3	209.0203896538825	194.25080768163383
4	187.59868053070068	235.7981179376577
5	217.54286825123836	214.90070785254494
6	171.69021278533756	245.80785761993909
7	197.47233469689527	218.51128651084738
8	203.1028675704585	266.1658192762121
9	192.67252454174172	189.6447809884976
10	198.70084325018115	
11	186.66459902977246	
12	176.60185658229562	
13	227.3295705065406	
14	268.12119937350906	
15	187.04140184662663	
16	188.49626154737476	
17	200.38163161096287	
18	362.96459847537517	
19	339.9868200176271	
20	295.46998642724725	
21	205.26959217047067	
22	205.01330606822495	
23	193.17296113889228	
24	201.26627711329184	
25	223.41315139101937	
26	203.29528098572314	
27	205.8946546472264	
28	235.78134352890078	
29	195.99351322876518	
30	253.52333304640456	
31	221.01133476101262	
32	236.9824981717124	
33	191.99362470458735	
34	194.44469405559238	
