	dmso-het	dmso-mut
0	203740.5225090146	29077.56598737343
1	11992.724811576089	30395.91124327531
2	32863.10774939101	20321.66011968455
3	22892.874357162495	14567.90280020132
4	36058.61291368381	2492.3925890259147
5	46801.756102298925	16824.232901841588
6	81507.4119521525	3961.654780970216
7	20262.758770408767	12880.168859629977
8	7735.631989146785	112716.11154949693
9	100661.52282505113	27449.747168346345
10	27989.38691726477	
11	45293.93600170463	
12	75648.34233359029	
13	8351.536164239214	
14	14713.411062738569	
15	12690.104156426023	
16	52419.06536597751	
17	10372.741291111095	
18	89769.78171488394	
19	27682.2639210495	
20	19486.81875699528	
21	57598.783926876145	
22	36919.034721995136	
23	6925.155451564158	
24	30441.873158414535	
25	31676.60566265234	
26	39236.389968778036	
27	36188.25037626151	
28	10726.721751952133	
29	18957.49016972038	
30	17386.888351326776	
31	111543.75588943338	
32	25207.49116207549	
33	119837.07639223094	
34	16128.446783912892	
